,lat,long,N
0,-25.61,-54.48,1428
1,-22.97,-43.28,10
2,-4.16,-38.11,328
3,-29.05,-50.14,74
4,-3.84,-40.9,92
5,-25.69,-54.44,69
6,-32.58,-52.56,9
7,-15.41,-55.83,88
8,-22.96,-43.21,8
9,-22.45,-42.99,386
10,-25.68,-54.44,580
11,-15.74,-47.92,347
12,-22.39,-42.95,7
13,-25.53,-54.58,4
14,-25.61,-54.47,8
15,-22.97,-43.29,2
16,-25.57,-54.57,1
17,-23.55,-46.64,2
18,-22.45,-42.98,237
19,-22.95,-43.21,41
20,-2.81,-40.43,2
21,-25.44,-49.32,5
22,-15.81,-47.99,1
23,-15.77,-47.89,3
24,-22.47,-43.09,1
25,-15.62,-47.65,1
26,-15.83,-48.06,2
27,-15.85,-48.03,1
28,-22.93,-43.24,8
29,-22.98,-43.29,13
30,-25.42,-49.28,3
31,-19.34,-43.63,15
32,-15.74,-47.93,149
33,-14.17,-47.82,46
34,-9.93,-67.86,1
35,36.63,-6.38,1
36,-15.59,-56.08,1
37,-15.73,-47.91,2
38,39.31,-3.47,1
39,-22.94,-43.21,15
40,39.57,-8.59,4
41,-23.47,-46.85,12
42,-23.19,-45.89,8
43,-15.8,-47.9,9
44,-14.13,-47.51,23
45,-22.97,-43.25,88
46,41.73,-8.16,114
47,-6.07,-50.06,2
48,-14.14,-47.51,27
49,-3.94,-41.72,2
50,-5.79,-35.2,3
51,-29.36,-50.82,1
52,-19.35,-43.62,185
53,-22.99,-43.3,22
54,-22.5,-44.57,9
55,-22.33,-44.58,17
56,-25.6,-54.52,1
57,-20.32,-40.32,1
58,-15.98,-47.58,1
59,-31.75,-52.32,1
60,-25.68,-54.43,23
61,-22.49,-44.57,13
62,-26.28,-48.85,1
63,-9.56,-35.74,1
64,-23.46,-46.64,2
65,-22.87,-42.03,1
66,-22.43,-44.62,56
67,-0.65,-48.49,2
68,-25.51,-54.57,1
69,-15.71,-47.91,5
70,41.68,-8.16,1
71,-3.13,-60.02,4
72,-6.07,-49.89,13
73,-25.53,-54.57,6
74,-5.83,-35.21,1
75,-6.06,-49.92,65
76,-29.25,-49.86,1
77,-1.46,-48.49,4
78,-15.75,-47.92,1
79,-23.0,-43.34,1
80,-23.57,-46.65,2
81,17.49,-92.03,2
82,-25.42,-49.26,2
83,-26.29,-48.85,1
84,-9.65,-35.72,1
85,-19.48,-43.91,1
86,-10.17,-48.33,1
87,-25.55,-54.56,2
88,-5.81,-35.2,2
89,-22.35,-44.82,4
90,-25.53,-54.59,436
91,-10.33,-53.2,873
92,-7.2,-47.76,1
93,-1.45,-48.47,56
94,-25.54,-54.59,199
95,-8.06,-34.88,31
96,-22.47,-43.83,2
97,-22.42,-42.98,84
98,-2.88,-41.67,2
99,-23.43,-51.94,13
100,-20.26,-42.03,3
101,-23.03,-45.56,2
102,-10.94,-62.83,2
103,-20.46,-54.62,10
104,-27.17,-51.51,1
105,-22.91,-43.21,400
106,38.71,-9.14,21
107,-15.6,-56.1,24
108,-19.92,-43.95,67
109,-21.46,-42.97,1
110,-5.19,-37.34,11
111,-12.4,-46.44,2
112,-16.68,-49.25,29
113,-23.55,-51.46,1
114,-23.96,-46.33,6
115,-10.92,-37.08,15
116,51.5,-0.1,1
117,-8.3,-43.36,1
118,-26.3,-48.85,7
119,-23.55,-46.63,192
120,-19.77,-44.09,2
121,-7.22,-35.88,5
122,51.06,-0.33,1
123,-17.81,-50.6,4
124,-22.88,-43.12,19
125,-30.03,-51.23,62
126,-28.51,-50.94,4
127,-22.91,-47.06,10
128,-22.47,-44.45,21
129,-23.31,-51.16,5
130,-7.12,-34.88,49
131,-22.08,-41.87,2
132,-5.81,-35.21,26
133,-7.7,-42.5,4
134,-26.78,-51.01,1
135,-23.71,-46.42,1
136,-9.65,-35.73,7
137,-5.09,-42.81,22
138,-12.98,-38.48,42
139,-25.43,-49.27,87
140,-22.19,-41.66,5
141,-23.5,-47.46,9
142,-21.12,-42.94,1
143,-22.76,-43.45,11
144,-29.69,-51.14,4
145,-22.51,-43.18,33
146,-22.5,-44.56,123
147,-29.69,-53.81,7
148,-20.64,-46.51,1
149,-25.46,-49.53,3
150,-18.92,-48.28,2
151,-22.8,-43.37,3
152,-24.48,-51.81,2
153,-3.13,-59.98,37
154,-27.06,-51.11,4
155,-17.79,-50.92,1
156,-27.09,-48.61,4
157,41.89,12.48,1
158,-4.15,-38.11,159
159,-25.68,-54.45,22
160,-22.69,-43.26,1
161,-22.96,-43.27,986
162,-22.4,-42.97,1
163,-22.41,-42.97,29
164,-25.49,-54.57,1
165,-22.48,-44.58,12
166,-15.36,-55.89,1
167,-7.21,-39.44,23
168,-2.66,-42.86,23
169,-2.66,-42.87,2
170,-25.43,-49.25,1
171,-22.39,-44.96,1
172,-22.47,-44.58,71
173,-22.92,-43.23,2
174,-25.54,-54.58,15
175,-25.28,-54.09,1
176,-22.5,-41.93,2
177,-25.54,-54.57,3
178,-14.07,-47.66,63
179,-7.92,-34.93,174
180,-25.58,-54.55,69
181,-8.67,-42.55,45
182,-25.53,-54.56,13
183,-15.8,-47.88,1
184,-7.22,-39.44,15
185,-22.37,-44.63,3
186,-8.07,-34.89,1
187,-25.24,-53.98,10
188,-3.74,-38.51,1
189,-2.76,-42.83,6
190,-2.67,-42.86,6
191,19.1,-98.68,1
192,-3.82,-38.48,2
193,-15.74,-47.91,5
194,-15.8,-48.06,3
195,-23.55,-46.73,7
196,-15.29,-55.99,1
197,-15.6,-47.61,7
198,-2.74,-42.83,2
199,-27.48,-49.58,18
200,-12.38,-54.94,1
201,2.81,-60.7,1
202,-10.09,-67.75,1
203,-32.93,-71.08,1
204,-4.23,-38.92,19
205,-25.44,-49.23,1
206,-22.43,-43.16,34
207,-11.34,-49.27,1
208,-15.36,-55.85,7
209,-22.4,-44.67,1
210,-7.99,-34.91,7
211,-5.19,-37.36,2
212,-5.73,-35.27,1
213,-22.46,-44.46,6
214,-23.54,-46.93,2
215,43.51,16.43,1
216,42.26,-8.77,2
