,lat,long,N
0,-3.11,-59.98,262
1,-22.4,-43.13,486
2,-20.39,-41.03,265
3,-23.97,-46.35,384
4,-25.61,-54.48,1546
5,-23.87,-46.57,42
6,-23.41,-46.04,257
7,-22.97,-43.28,14
8,-3.1,-60.02,892
9,-4.16,-38.11,358
10,-29.05,-50.14,92
11,-23.54,-46.56,107
12,-3.84,-40.9,103
13,-20.66,-40.47,110
14,-25.25,-50.01,338
15,-10.33,-53.2,983
16,-29.31,-50.85,1007
17,-21.79,-46.59,365
18,-19.92,-43.94,607
19,-9.63,-35.74,6
20,-20.25,-46.37,52
21,-7.12,-34.88,61
22,-25.69,-54.44,78
23,-19.92,-43.95,1090
24,-26.3,-48.85,12
25,-23.56,-45.51,6
26,-22.47,-43.83,5
27,-32.58,-52.56,9
28,-7.16,-47.91,1
29,-1.45,-48.47,97
30,-15.41,-55.83,99
31,-15.57,-56.07,39
32,-19.88,-43.93,4
33,-22.97,-47.0,4
34,-19.92,-43.93,2673
35,-24.96,-53.46,3
36,-25.54,-54.59,240
37,-22.96,-43.21,11
38,-22.45,-42.99,429
39,-23.35,-51.14,11
40,-22.76,-43.45,61
41,-8.06,-34.88,44
42,-23.57,-46.78,163
43,-19.58,-42.64,19
44,-19.91,-43.94,8
45,-22.42,-42.98,125
46,-23.33,-46.69,43
47,-23.55,-46.64,20
48,-25.68,-54.44,667
49,-23.45,-46.64,73
50,-29.46,-51.29,9
51,-14.17,-47.82,55
52,-23.56,-45.5,5
53,-25.46,-49.53,4
54,-22.97,-43.25,101
55,-12.98,-44.05,2
56,-23.46,-46.76,252
57,-23.53,-46.79,28
58,-22.95,-43.21,44
59,-21.73,-47.58,25
60,-18.92,-48.28,11
61,-23.03,-45.58,101
62,-28.68,-49.37,9
63,-30.03,-51.23,89
64,-22.91,-43.21,643
65,-20.32,-40.34,40
66,-5.09,-42.81,23
67,-16.75,-43.89,56
68,-15.74,-47.92,402
69,-23.55,-46.63,443
70,-23.34,-44.88,10
71,-23.51,-46.81,2
72,-22.88,-43.12,38
73,-22.8,-43.37,6
74,-25.09,-50.16,21
75,-26.92,-48.64,76
76,-22.45,-42.98,258
77,-23.51,-46.88,82
78,-17.75,-48.63,6
79,-23.47,-46.85,13
80,-8.29,-35.97,1
81,-3.13,-59.98,90
82,-25.25,-50.02,112
83,-9.98,-67.82,59
84,-28.65,-53.61,2
85,-23.52,-46.19,23
86,-20.05,-44.0,81
87,-20.06,-44.03,216
88,-23.03,-45.56,4
89,-25.61,-54.47,8
90,-27.6,-48.55,49
91,-19.34,-43.63,15
92,-22.35,-44.82,5
93,-27.06,-51.11,5
94,-17.79,-50.92,1
95,-23.42,-46.59,4
96,-9.75,-36.66,3
97,-22.96,-43.18,101
98,-23.42,-46.55,26
99,-27.1,-48.64,3
100,-21.76,-43.35,25
101,-19.81,-43.94,5
102,-19.79,-43.94,1
103,-6.51,-35.66,1
104,-29.65,-51.17,2
105,-20.63,-40.42,2
106,-23.55,-51.46,2
107,-25.53,-54.59,472
108,-23.5,-46.87,674
109,-20.26,-42.03,4
110,-10.94,-62.83,2
111,-22.39,-42.95,7
112,-23.32,-46.59,11
113,-20.46,-54.62,21
114,-27.17,-51.51,8
115,-22.51,-43.18,74
116,-25.53,-54.58,4
117,-23.46,-46.63,520
118,-19.89,-43.94,1
119,-19.94,-43.97,6
120,-19.91,-43.97,2
121,-19.92,-43.96,6
122,-15.6,-56.1,41
123,-22.97,-43.29,2
124,-25.57,-54.57,1
125,-29.98,-50.13,1
126,-19.93,-43.9,1
127,-24.26,-49.72,3
128,-25.44,-54.4,3
129,-18.28,-42.67,2
130,-2.88,-41.67,2
131,-25.45,-49.38,159
132,-19.5,-42.63,1
133,-23.43,-51.94,18
134,-2.81,-40.43,2
135,-21.85,-43.81,1
136,-21.71,-43.9,209
137,-25.44,-49.32,7
138,-23.62,-45.41,14
139,-21.44,-42.97,1
140,-15.81,-47.99,1
141,-5.19,-37.34,105
142,-22.66,-45.0,3
143,-12.35,-46.6,2
144,-16.68,-49.25,105
145,-15.77,-47.89,3
146,-22.47,-43.09,1
147,-20.5,-43.86,3
148,-9.65,-35.73,66
149,-23.86,-46.57,56
150,-19.08,-43.55,9
151,-23.64,-46.68,2
152,-15.62,-47.65,1
153,-24.01,-46.43,1
