,lat,long,N
0,-24.56,-48.67,25
1,-19.92,-43.93,190
2,-2.73,-42.83,3
3,-20.65,-40.48,39
4,41.69,-8.2,1
5,-4.84,-37.25,4
6,-22.97,-43.24,12
7,38.62,-109.62,1
8,-22.5,-43.15,3
9,-29.31,-50.85,104
10,-14.18,-47.82,119
11,-22.21,-45.95,2
12,-23.88,-48.0,5
13,-22.95,-43.49,45
14,-20.43,-41.87,8
15,-23.0,-43.37,28
16,-27.73,-48.51,17
17,-18.57,-53.13,6
18,-22.4,-44.63,27
19,-22.99,-43.23,45
20,-22.85,-46.27,9
21,-23.97,-46.35,15
22,-18.16,-43.6,7
23,-2.75,-42.83,173
24,-22.96,-44.67,5
25,-4.15,-38.11,17
26,-15.74,-47.92,9
27,-25.42,-48.22,4
28,-21.72,-43.92,34
29,-2.5,-44.29,6
30,-8.62,-37.17,2
31,-22.76,-43.45,19
32,-22.41,-47.52,9
33,-23.54,-45.07,17
34,-22.91,-43.2,4
35,-22.87,-43.31,7
36,-24.64,-48.4,4
37,-25.61,-54.48,43
38,-51.73,-72.5,7
39,-6.06,-49.92,5
40,-25.0,-47.93,2
41,-8.01,-34.94,11
42,-22.96,-43.27,96
43,-22.95,-43.38,4
44,-23.46,-46.63,135
45,-2.0,-54.08,2
46,-22.36,-47.38,2
47,-8.67,-42.55,6
48,-22.95,-43.29,1
49,-22.35,-44.65,20
50,-19.81,-43.98,1
51,-9.18,13.37,1
52,-22.37,-44.72,4
53,-25.14,-50.16,3
54,-21.78,-46.57,1
55,-20.43,-41.96,8
56,-25.11,-50.16,1
57,-23.9,-46.47,11
58,-8.59,-37.25,2
59,-25.57,-54.56,8
60,-23.5,-46.87,57
61,-27.53,-48.43,6
62,-2.8,-40.52,7
63,-29.85,-51.18,1
64,-13.0,-41.37,1
65,-22.5,-44.56,38
66,-8.75,-35.1,1
67,-22.87,-43.78,166
68,-2.42,-54.73,4
69,-15.74,-47.93,14
70,-23.02,-43.47,11
71,-22.59,-43.42,16
72,-22.48,-43.06,21
73,-29.92,-51.17,10
74,-22.41,-45.44,41
75,-23.98,-46.39,3
76,-15.85,-47.91,3
77,-10.55,-46.42,39
78,-23.04,-46.98,28
79,-23.07,-43.55,1
80,-22.62,-43.24,7
81,-28.14,-54.75,5
82,-22.91,-43.69,36
83,-17.93,-44.23,1
84,-22.43,-45.46,2
85,-19.92,-43.94,57
86,-22.43,-42.96,1
87,41.73,-8.16,20
88,-22.4,-43.14,3
89,-15.46,-55.75,14
90,-22.47,-43.0,1
91,-19.94,-43.98,1
92,-15.79,-47.85,10
93,-7.21,-39.45,4
94,-22.9,-43.19,27
95,-27.35,-53.4,1
96,-25.12,-66.18,1
97,-29.64,-51.02,18
98,-22.63,-43.26,4
99,-16.7,-49.24,26
100,63.74,-148.9,1
101,-22.97,-43.21,6
102,-19.35,-43.62,12
103,-10.78,-37.35,2
104,-10.58,-46.52,1
105,-3.13,-60.02,3
106,43.8,15.96,1
107,-19.41,-43.32,1
108,-20.62,-41.01,1
109,-10.78,-65.34,1
110,-3.1,-60.03,8
111,-20.39,-41.03,2
112,-27.21,-49.65,13
