,0
1432659601078603778,"[-41.7150099, -3.9304804]"
1432471756573396997,"[-46.5688323, -23.6195923]"
1432311214898655241,"[-63.8735438, -8.7494525]"
1432296412251926530,"[-55.9878139, -4.2625218]"
1432166786930184196,"[-40.4506081, -2.8986278]"
1432136865013014528,"[-48.8486726, -26.3044898]"
1432069730957938691,"[-49.0545355, -25.3046032]"
1431749416436785161,"[-43.775322, -22.8629597]"
1431713899280281604,"[-43.914722, -21.5625]"
1431618889461469188,"[-44.68425687643857, -22.3572612]"
1431615041607016448,"[-44.68425687643857, -22.3572612]"
1431564152733147137,"[-47.64824178160604, -14.16212315]"
1431551903486423040,"[-39.2660082, -17.7296514]"
1431519689516191750,"[-8.523255293554344, 41.8803257]"
1431389567203135488,"[-8.417882, 41.8471981]"
1430887746780860427,"[-48.4682453, -1.45056]"
1430741468692484096,"[-51.1799525, -29.9216045]"
1430688323069173760,"[-49.474970236111105, -14.02906735]"
1430614876888649730,"[-46.8492435, -23.7176303]"
1430599560657883136,"[-59.9825041, -3.1316333]"
1430282607607095301,"[-43.9450948, -19.9227318]"
1430280973472706568,"[-46.6333824, -23.5506507]"
1430233363995140105,"[-43.1154552, -22.8832371]"
1421997991968313344,"[-47.64824178160604, -14.16212315]"
1421954799734566923,"[-58.4370894, -34.6075682]"
1421908539786862595,"[-46.702693752835245, -23.349705999999998]"
1421647409130745864,"[-46.6333824, -23.5506507]"
1421633811755020291,"[-43.2093727, -22.9110137]"
1421589394495053827,"[-46.6333824, -23.5506507]"
1421502039285243913,"[-44.4463494, -22.4683626]"
1420569365586583559,"[-43.1785356, -22.5075743]"
1420511068355432450,"[-43.9450948, -19.9227318]"
1420443554925715464,"[1.9737186, 47.9200018]"
1420018691526307848,"[2.3514616, 48.8566969]"
1419665175486021639,"[-43.2093727, -22.9110137]"
1419423051595370499,"[-43.2093727, -22.9110137]"
1419350299324653574,"[-48.4682453, -1.45056]"
1419324579923861505,"[-43.9186521, -19.6940958]"
1419291123273637889,"[-42.975194, -22.4164578]"
1419279097562271747,"[-48.4682453, -1.45056]"
1419021547545796609,"[-43.2093727, -22.9110137]"
1418817155009810432,"[-51.1516497, -29.7544405]"
1418743816887193602,"[-42.975194, -22.4164578]"
1418734670473224200,"[-43.2093727, -22.9110137]"
1418718273168986118,"[-43.2093727, -22.9110137]"
1418239576175366145,"[137.260842, 34.950974]"
1418229788502863876,"[-43.2093727, -22.9110137]"
1418143953283600385,"[-42.0189227, -22.8804369]"
1417999380725047296,"[-46.6333824, -23.5506507]"
1417960583123685376,"[-43.2093727, -22.9110137]"
1417953531554893825,"[-47.4738762, -7.3313437]"
1417799452807606273,"[-38.5217989, -3.7304512]"
1417751060953894912,"[-7.8896263, 40.0332629]"
1417738662389891074,"[-5.6046621, 43.2754285]"
1417590577575587842,"[-43.1785356, -22.5075743]"
1417512608031289356,"[-47.5603933, -22.4100108]"
1417512325398073350,"[-47.5603933, -22.4100108]"
1417511826208825348,"[-47.5603933, -22.4100108]"
1417511639495102468,"[-47.5603933, -22.4100108]"
1417209284904030212,"[-67.8220778, -9.9765362]"
1417138467029585926,"[-40.3376682, -20.3200917]"
1417061012176580608,"[-52.6166878, -27.0922364]"
1416897988820148224,"[-48.5496098, -27.5973002]"
1416766497997918214,"[-45.3930262, -5.2085503]"
1416745420861083649,"[-43.714444, -19.168611]"
1416586811841912838,"[-50.145412, -29.0489517]"
1416539251580313604,"[-53.894037, -23.8722004]"
1416522172420567041,"[-53.894037, -23.8722004]"
1416456569097707528,"[-56.0991301, -15.5986686]"
1416226812615700481,"[-43.3501129, -21.7609533]"
1416113777787944966,"[-8.3082631, 41.7186891]"
1415823946407104512,"[-53.2, -10.3333333]"
1415761767012122624,"[-43.2093727, -22.9110137]"
1415715468690792455,"[-43.2093727, -22.9110137]"
1415366142420529156,"[-49.2712724, -25.4295963]"
1414983961789571077,"[-42.8815888, -20.7538586]"
1414975315877801993,"[-63.8735438, -8.7494525]"
1414973318529224706,"[-63.8735438, -8.7494525]"
1414600948962443265,"[-46.6333824, -23.5506507]"
1414598012521877510,"[-49.1007401, -5.3462821]"
1414320580527013901,"[-43.9450948, -19.9227318]"
1414317782733295616,"[-43.9450948, -19.9227318]"
1414317650021396482,"[-43.9450948, -19.9227318]"
1414004560260120578,"[-43.2093727, -22.9110137]"
1413911263726481417,"[16.3725042, 48.2083537]"
1413642415794266114,"[-44.9366732, -22.2957913]"
1413493118968680449,"[-68.7417033, 10.3394796]"
1412797294555115527,"[-35.2080905, -5.805398]"
1412728335101202433,"[-43.9450948, -19.9227318]"
1412439703580811266,"[-40.3376682, -20.3200917]"
1412424715671638029,"[-48.4682453, -1.45056]"
1412403850091302912,"[-40.3064477, -20.1252961]"
1412402291819307010,"[-42.8815888, -20.7538586]"
1412401608630153222,"[-42.8815888, -20.7538586]"
1412180890558554113,"[-46.6333824, -23.5506507]"
1412171173325115404,"[-43.2093727, -22.9110137]"
1412132099713376257,"[-55.9878139, -4.2625218]"
1412092793288331269,"[-43.5036344, -20.3851692]"
1412088832929976328,"[-43.9450948, -19.9227318]"
1411810031415275520,"[-46.6333824, -23.5506507]"
1411796195782103043,"[-44.9366732, -22.2957913]"
1411754032608202755,"[-46.6333824, -23.5506507]"
1411406353910964229,"[-68.083333, 10.166667]"
1411385786143027201,"[-35.7339264, -9.6476843]"
1411356661038604289,"[-43.2093727, -22.9110137]"
1411127121813061633,"[-40.3376682, -20.3200917]"
1410977300536086530,"[-43.9450948, -19.9227318]"
1410963489397612546,"[-67.8220778, -9.9765362]"
1410940271039287299,"[-43.2093727, -22.9110137]"
1410616782113566722,"[-44.1040128, -22.5225497]"
1410430574439849989,"[-46.5096698, -18.6041453]"
1410364733971181570,"[-51.1516497, -29.7544405]"
1410296753425944579,"[-44.8695785, -22.2830726]"
1410185027145588738,"[-46.2558332, -23.9927768]"
1410143897561468929,"[-46.6333824, -23.5506507]"
1410143053000683523,"[-46.6333824, -23.5506507]"
1410026223254884354,"[-41.7866922, -22.3712958]"
1409958024660275200,"[-48.4682453, -1.45056]"
1409898125477699586,"[-44.2448718, -2.5634605]"
1409890032052314123,"[-53.2, -10.3333333]"
1409863021514608640,"[-43.2093727, -22.9110137]"
1409657961752850434,"[-38.5217989, -3.7304512]"
1409613779508154368,"[-43.9450948, -19.9227318]"
1409337072423481347,"[-53.2, -10.3333333]"
1409298944388222981,"[-43.2093727, -22.9110137]"
1409167832965865475,"[-43.9450948, -19.9227318]"
1409110569332973568,"[-54.25, -33.0]"
1408807287402250240,"[-51.1799525, -29.9216045]"
1408778439830691842,"[-63.5859487, 44.648618]"
1408775044818518018,"[-7.8896263, 40.0332629]"
1408601687149973506,"[-67.8220778, -9.9765362]"
1407848496171003906,"[-48.46015034580209, -1.1330361]"
1407797810444050436,"[-51.07099200267679, -31.312225849999997]"
1407797768371032069,"[-51.07099200267679, -31.312225849999997]"
1407154999638085634,"[-48.5496098, -27.5973002]"
1407021113192980495,"[-46.6333824, -23.5506507]"
1406975085416693768,"[-43.8981758, -22.6287489]"
1406614933324931077,"[-34.8848193, -8.0584933]"
1406296749321474054,"[-51.07099200267679, -31.312225849999997]"
1406296445066620935,"[-51.07099200267679, -31.312225849999997]"
1406053422718148608,"[-54.5858139, -25.5401479]"
