,0
285888403709493249,Parque Nacional de chapada dos guimarães
285885081086742528,Parque Nacional manuel antônio  além
285879855688609792,Parque natural municipal do atalaia  itajaí
285876905398386688,Parque Nacional do iguaçu  no
285872668421541889,Parque Nacional do iguaçu  no
285864998096494592,Parque Nacional do iguaçu  no
285864497833467904,Parque Nacional do iguaçu  no
285863562725949441,Parque Nacional do iguaçu  no
285862850105331713,Parque Nacional do iguaçu http 
285861691068145665,Parque Nacional do iguaçu  no
285861688660606976,Parque Nacional do iguaçu  no
285860966267240450,Parque Nacional do itatiaia http 
285860657717465088,Parque Nacional do iguaçu  no
285860276899807232,Parque Nacional do iguaçu  no
285859925966598144,Parque Nacional do iguaçu  no
285848654747672578,Parque estadual do jaraguá http 
285840634395381760,Parque municipal de eventos  extrema
285839878871195650,Parque natural municipal bosque da barra 
285835658503811072,Monumento natural das falésias http 
285828661972701184,Monumento natural das falésias http 
285828267968188416,Monumento natural das falésias http 
285819485389213696,Parque municipal flamboyant  goiânia 
285815432244523009,Parque estadual de vila velha 
285813403791003648,Parque Nacional da floresta da tijuca
285809252113739776,Parque Nacional argetino   
285809009754259457,Parque municipal de bh deve passar
285807039215702017,Parque Nacional da tijuca  
285798359145512960,Parque Nacional do iguaçu  foz
285789572149948418,Reserva biológica para estacionamento irregular em
285787641390174208,Estação ecológica juréia   itatins
285784818988511232,Parque Nacional do iguaçu http 
285772997426552833,Parque Nacional do iguaçu http 
285770883971301376,Parque Nacional do iguaçu  
285770251763855360,Parque municipal das araucárias http 
285770239285796866,Parque Nacional do iguaçu  
285752008013656066,Parque Nacional do iguaçu reserva passeios
285737336698978305,Parque municipal de petrópolis http 
285736377323253760,Parque Nacional do iguaçu  foz
285732932096770048,Parque municipal pra andar de bike
285726826305826816,Parque Nacional do iguaçu w 
285725171808092160,Parque Nacional de iguazú http 
285722082048868353,Parque Nacional da tijuca vai ganhar
285712265116798976,Parque Nacional de chapada dos guimarães
285609161323057154,Parque municipal dom josé  
285594726571311108,Parque estadual de vila velha 
285581564891512832,Parque Nacional da tijuca onde cansei
285575185879412738,Parque municipal
285571151617478657,Parque Nacional de itatiaia http 
285566263479132161,Parque Nacional da chapada dos guimarães
285545938976645122,Parque municipal e voltei igual um
285545530782785536,Parque Nacional  ferinha  shopping
285545393918464000,Parque municipal  juniorcurro  alexrboy
285540348099432449,Parque Nacional na malásia http 
285529091879358464,Parque Nacional santa teresa  zoologico
285527103754096641,Parque Nacional de chitwan  a
285519036396216320,Parque municipal   beatriiiizp live
285509028883333120,Parque municipal américo renné giannetti http
285507492404948993,Parque municipal bernardo élis http 
285506907945451521,Parque municipal de barranco  http
285504518765019138,Parque Nacional da floresta da tijuca
285500520049815552,Parque municipal do passaúna http 
