,0
418159281913864192,PARQUE NACIONAL DA SERRA DOS ORGÃOS
418144994327674880,PARQUE NACIONAL DO IGUAÇU
418124416912855041,ESTAÇÃO ECOLÓGICA TUPINAMBÁS
418089110138408962,PARQUE NACIONAL DO IGUAÇU
418070919652065280,PARQUE NATURAL MUNICIPAL DO ATALAIA
418059448801067008,PARQUE NACIONAL DA TIJUCA
418055288512860160,PARQUE NACIONAL DE UBAJARA
418040051520393216,PARQUE NACIONAL DA TIJUCA
418033126355771392,PARQUE NACIONAL DA TIJUCA
418033117912653824,PARQUE NACIONAL DA TIJUCA
418030040744734720,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES
418018712340672512,ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS
418012408679256064,PARQUE ESTADUAL DA PEDRA BRANCA
417991652381163520,PARQUE ESTADUAL MÃE BONIFÁCIA
417978613263523840,PARQUE NACIONAL DO IGUAÇU
417974954412752896,PARQUE NACIONAL DO IGUAÇU
417965875057410048,ESTAÇÃO ECOLÓGICA DE CARIJÓS
417862663910457344,PARQUE NACIONAL DA TIJUCA
417818265839497216,PARQUE NACIONAL DA TIJUCA
417809160013873154,PARQUE NACIONAL DA TIJUCA
417809147665846272,PARQUE NACIONAL DA TIJUCA
417791347115180032,PARQUE NACIONAL DA TIJUCA
417781135180304385,PARQUE ESTADUAL DA PEDRA BRANCA
417768186189447169,PARQUE ESTADUAL MÃE BONIFÁCIA
417761879000633344,PARQUE ESTADUAL MÃE BONIFÁCIA
417758401712902144,PARQUE ESTADUAL MÃE BONIFÁCIA
417748999995920384,PARQUE ESTADUAL DAS SETE PASSAGENS
417748583719645184,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO
417739608777302017,PARQUE ESTADUAL DA PEDRA BRANCA
417721624734232576,PARQUE NATURAL MUNICIPAL DO ATALAIA
417717739701030912,PARQUE NACIONAL DE APARADOS DA SERRA
417715816894050304,PARQUE ESTADUAL SERRA DO BRIGADEIRO
417712951542702080,PARQUE NACIONAL DA TIJUCA
417703894504845314,PARQUE NACIONAL DO IGUAÇU
417703625348362240,PARQUE NACIONAL DO ITATIAIA
417693833183236096,PARQUE NACIONAL DE APARADOS DA SERRA
417683189130604544,PARQUE NACIONAL DO IGUAÇU
417673113988370433,PARQUE NACIONAL DO IGUAÇU
417672443088875520,PARQUE NACIONAL DO IGUAÇU
417668806912536576,PARQUE NACIONAL DO IGUAÇU
417660879921238016,PARQUE ESTADUAL DE VILA VELHA
417647282247720960,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS
417632435409391616,PARQUE NACIONAL DO IGUAÇU
417630018194661376,PARQUE ESTADUAL DO JARAGUÁ
417626801037639680,PARQUE NACIONAL DO IGUAÇU
417616461742759936,ESTAÇÃO ECOLÓGICA DE CAETÉS
417616384999583744,PARQUE NACIONAL DO IGUAÇU
417601580444024833,PARQUE NACIONAL DE APARADOS DA SERRA
417592764088713216,PARQUE ESTADUAL PAULO CÉSAR VINHA
417514788915118080,PARQUE NACIONAL DE APARADOS DA SERRA
417496132764565506,PARQUE ESTADUAL DA SERRA DA TIRIRICA
417479944466624512,PARQUE NACIONAL DO IGUAÇU
417414522778169344,PARQUE NACIONAL DO IGUAÇU
417384533026426880,PARQUE NACIONAL DO IGUAÇU
417373344762445826,PARQUE NACIONAL DO IGUAÇU
417369128933281792,PARQUE NACIONAL DA SERRA GERAL
417368660446306304,PARQUE NACIONAL DO IGUAÇU
417357187422633984,PARQUE NACIONAL DO IGUAÇU
417355093005336576,PARQUE ESTADUAL DA CANTAREIRA
417351324653867008,PARQUE NACIONAL DA TIJUCA
417333889066356736,PARQUE ESTADUAL DA SERRA DO MAR
417332152049885184,PARQUE NACIONAL DO IGUAÇU
417330776423034880,PARQUE NACIONAL DA TIJUCA
417314345367113728,PARQUE NACIONAL DO IGUAÇU
417307961426706432,PARQUE ESTADUAL DA SERRA DO MAR
417307604936065024,PARQUE ESTADUAL DA SERRA DO MAR
417306013222838272,PARQUE ESTADUAL CARLOS BOTELHO
417294863751999488,PARQUE ESTADUAL DA PEDRA BRANCA
417281558521720832,PARQUE NACIONAL DO IGUAÇU
417267371293032448,PARQUE ESTADUAL DAS SETE PASSAGENS
417266955364864000,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO
417265754741178368,PARQUE NACIONAL DO IGUAÇU
417259892618317824,PARQUE NACIONAL DO IGUAÇU
417259438383583232,PARQUE ESTADUAL DO JARAGUÁ
417258340121866240,PARQUE NACIONAL DA TIJUCA
417241842938167296,PARQUE NACIONAL DO IGUAÇU
417228947026616321,PARQUE NACIONAL DO IGUAÇU
417203941672505344,PARQUE NACIONAL DA TIJUCA
417132964485799936,PARQUE NACIONAL DA TIJUCA
417123901618290688,PARQUE NACIONAL DA TIJUCA
417122977839599617,PARQUE NACIONAL DA TIJUCA
417107139153657856,PARQUE NACIONAL DA TIJUCA
417089212341817345,PARQUE NACIONAL DE JERICOACOARA
417078607107076096,PARQUE NACIONAL DE BRASÍLIA
417076512350015488,PARQUE NACIONAL DA TIJUCA
417074630286143488,PARQUE NACIONAL DO IGUAÇU
417043140525441025,PARQUE ESTADUAL DA CANTAREIRA
417040372997427200,PARQUE NACIONAL DA TIJUCA
417040362696212480,PARQUE NACIONAL DA TIJUCA
417040324700012544,PARQUE NACIONAL DA TIJUCA
417040308325474304,PARQUE NACIONAL DA TIJUCA
417040296757583872,PARQUE NACIONAL DA TIJUCA
417037839583281152,PARQUE NACIONAL DA TIJUCA
417034908654370817,PARQUE NACIONAL DO IGUAÇU
417027501911990272,PARQUE ESTADUAL DA CANTAREIRA
417018201353224192,PARQUE NACIONAL DO IGUAÇU
417016198870872064,PARQUE ESTADUAL DA CANTAREIRA
417011316705222656,PARQUE ESTADUAL DA COSTA DO SOL
417006137557667840,PARQUE NACIONAL DO IGUAÇU
417003716244688896,PARQUE NACIONAL DO IGUAÇU
417001553615413248,PARQUE NACIONAL DO IGUAÇU
416983876381470720,PARQUE NACIONAL DA TIJUCA
416983279259377664,PARQUE NACIONAL DA TIJUCA
416982569293709314,PARQUE NACIONAL DA TIJUCA
416981546214891520,PARQUE NACIONAL DA TIJUCA
416979907172782080,PARQUE NACIONAL DE APARADOS DA SERRA
416976594700607488,PARQUE ESTADUAL DE VILA VELHA
416970909631905792,PARQUE NACIONAL DA TIJUCA
416954194319257600,PARQUE NACIONAL DO IGUAÇU
416950024728109056,PARQUE NACIONAL DE APARADOS DA SERRA
416920811573100544,PARQUE ESTADUAL CARLOS BOTELHO
416914070269595648,PARQUE ESTADUAL MÃE BONIFÁCIA
416902063776595969,PARQUE NACIONAL DE BRASÍLIA
416886752385961984,PARQUE NACIONAL DO IGUAÇU
416885011691106304,PARQUE NACIONAL DO IGUAÇU
416851522878984192,PARQUE ESTADUAL DA SERRA DO MAR
416720783520432128,PARQUE NACIONAL DA TIJUCA
416700397500497920,PARQUE NACIONAL DA TIJUCA
416690200039804929,PARQUE NACIONAL DO IGUAÇU
416689324743086080,PARQUE NACIONAL DO IGUAÇU
416682124167872512,PARQUE ESTADUAL MÃE BONIFÁCIA
416679383139909632,PARQUE ESTADUAL MÃE BONIFÁCIA
416676613422452737,PARQUE ESTADUAL DE TERRA RONCA
416676067433517056,PARQUE NACIONAL DO IGUAÇU
416663555182968832,PARQUE ESTADUAL DO JARAGUÁ
416662043589345280,PARQUE ESTADUAL DA PEDRA BRANCA
416661521281060864,PARQUE NACIONAL DO IGUAÇU
416649903931408384,PARQUE NACIONAL DO IGUAÇU
416637497255690240,PARQUE ESTADUAL DA PEDRA BRANCA
416635790090051585,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS
416626025166954500,PARQUE NACIONAL DO IGUAÇU
416615492338876417,PARQUE NACIONAL DO IGUAÇU
416612604816420864,PARQUE NACIONAL DO IGUAÇU
416611809454735360,PARQUE ESTADUAL CARLOS BOTELHO
416611800508301312,PARQUE ESTADUAL CARLOS BOTELHO
416596959936655360,PARQUE NACIONAL DE UBAJARA
416595945959469056,PARQUE NACIONAL DE UBAJARA
