,lat,long,N
0,-27.57,-48.54,3
1,-20.48,-46.06,2
2,-17.77,-48.66,10
3,-21.71,-43.9,7
4,-22.43,-43.25,12
5,-23.6,-46.75,16
6,-29.36,-49.73,33
7,-29.31,-50.85,105
8,-22.65,-44.58,18
9,-21.71,-43.91,12
10,-22.97,-43.23,2
11,-22.96,-43.24,51
12,-16.7,-49.24,111
13,-22.91,-43.69,3
14,-15.58,-56.1,28
15,-23.41,-46.04,8
16,-25.68,-54.44,445
17,-23.43,-47.6,15
18,-23.41,-46.58,28
19,-22.87,-43.78,1094
20,-4.16,-38.11,16
21,40.32,-7.61,1
22,-19.92,-43.93,228
23,-22.45,-42.99,130
24,39.85,-6.03,38
25,19.67,-103.48,1
26,-32.43,-71.07,2
27,-3.1,-60.03,159
28,-23.34,-46.73,1
29,-16.65,-49.27,1
30,-14.18,-47.82,54
31,-27.72,-48.51,2
32,-23.9,-46.47,5
33,-22.85,-46.31,4
34,-22.46,-43.1,3
35,-9.02,-42.69,33
36,-22.43,-42.96,1
37,-23.53,-46.36,2
38,-22.79,-43.3,12
39,-22.59,-43.41,38
40,-23.77,-46.52,3
41,-0.05,-51.14,8
42,-25.6,-54.57,47
43,-28.14,-54.75,45
44,-27.63,-48.47,1
45,-23.5,-46.87,61
46,-15.74,-47.92,41
47,-25.61,-54.48,133
48,-24.36,-47.02,3
49,39.77,-6.01,1
50,-24.31,-47.0,8
51,-23.04,-46.98,12
52,-23.75,-45.75,1
53,-8.13,-35.02,1
54,-15.74,-47.93,30
55,-27.73,-48.51,16
56,-3.1,-60.02,42
57,-22.45,-42.98,12
58,5.07,-75.52,1
59,-21.79,-46.59,65
60,-23.54,-45.07,30
61,-22.96,-43.27,126
62,-23.46,-46.76,54
63,-20.42,-40.91,2
64,-9.61,-35.76,175
65,-26.98,-48.63,1
66,-3.84,-40.9,25
67,-20.24,-46.37,18
68,-20.35,-46.86,6
69,-23.8,-45.36,1
70,-3.11,-59.98,29
71,-18.46,-43.31,2
72,-22.5,-44.56,10
73,-25.25,-50.02,30
74,-14.1,-46.35,2
75,-25.25,-50.01,63
76,-29.92,-51.17,117
77,-22.41,-47.55,8
78,-22.95,-43.34,7
79,-22.36,-47.38,18
80,-19.92,-43.94,146
81,-23.46,-46.63,72
82,-20.4,-54.59,1
83,-25.78,-49.72,2
84,-22.97,-43.02,10
85,-23.91,-48.02,1
86,-3.69,-40.36,6
87,-25.68,-54.45,1
88,18.52,-69.92,1
89,-23.01,-43.43,1
90,-21.72,-44.98,1
91,-22.78,-43.45,1
92,-29.64,-50.46,1
93,-22.95,-43.38,22
94,-25.2,-47.97,1
95,-21.72,-43.92,34
96,-23.54,-46.56,23
97,-27.53,-48.43,20
98,17.51,-91.98,1
99,-22.9,-43.68,4
100,-22.96,-43.18,10
101,-23.17,-45.89,43
102,-16.75,-43.89,14
103,-15.09,-44.25,2
104,-23.52,-46.81,3
105,2.8,-60.74,6
106,-23.0,-43.37,21
107,-9.6,-35.76,61
108,11.22,-74.18,24
109,-51.72,-72.51,1
110,-35.19,-59.11,2
111,-22.88,-43.29,5
112,-21.72,-43.93,14
113,-5.2,-37.34,10
114,-29.45,-51.31,91
115,-5.19,-37.34,26
116,-22.21,-45.95,3
117,-34.79,-58.4,1
118,42.43,-8.08,9
119,-27.0,-49.43,18
120,-9.61,-35.75,5
121,-20.6,-40.43,57
122,-22.22,-45.96,2
123,-22.96,-43.22,29
124,-22.92,-43.27,9
125,-23.71,-46.66,2
126,-14.18,-47.81,1
127,-19.58,-42.6,2
128,-21.21,-47.8,46
129,-18.24,-43.61,3
130,-22.76,-47.15,2
131,-10.58,-46.52,1
132,-22.4,-43.14,9
133,-33.51,-53.36,2
134,-32.22,-52.47,2
135,-20.27,-43.93,30
136,-9.39,-40.5,35
