,0
947142026247720960,"[-43.8263256, -22.4703403]"
944160655405387776,"[-43.2093727, -22.9110137]"
943972925547450370,"[-84.0795782, 9.9325427]"
943817907829649409,"[-49.2712724, -25.4295963]"
943568937593262080,"[-40.8414804, -14.8567487]"
943205847202783232,"[-40.8414804, -14.8567487]"
942721684112596992,"[-60.6719582, 2.8208478]"
941642467438415872,"[-49.2712724, -25.4295963]"
940781302768439301,"[-68.3073246, -54.8069332]"
940778727025364992,"[-46.6333824, -23.5506507]"
940746755527925760,"[-46.402778, -24.005833]"
938872873594380288,"[-35.7339264, -9.6476843]"
938749285847502848,"[-41.966111, -20.423611]"
938003954193043456,"[-41.966111, -20.423611]"
938002984230965249,"[-52.6166878, -27.0922364]"
937149053992873990,"[-43.9450948, -19.9227318]"
911354903754395649,"[-67.8220778, -9.9765362]"
911345185182715905,"[-43.2093727, -22.9110137]"
911270863978291200,"[-49.8903283, -6.0696846]"
910964167473029124,"[-54.5764199, -25.6107508]"
909930765407756288,"[-43.2093727, -22.9110137]"
909798441773158400,"[-53.2, -10.3333333]"
909586899328802816,"[-53.2, -10.3333333]"
909472972825665538,"[-43.2093727, -22.9110137]"
908537134486740992,"[-45.4524156, -22.4238234]"
908447365396418560,"[-43.2093727, -22.9110137]"
908116247845507073,"[-50.8724941, -29.3787488]"
908106092361777152,"[-70.53341181233888, -33.44737295]"
907629618072563713,"[-67.8220778, -9.9765362]"
907375601111257088,"[-49.2532691, -16.680882]"
906959755448549377,"[-8.3170764, 43.3330642]"
906694944626266112,"[-52.0991297, -32.0334252]"
906295548831047682,"[-46.2558332, -23.9927768]"
906112641281732608,"[-7.4739921, 43.0462247]"
905762934470713345,"[-42.975194, -22.4164578]"
905624648792104960,"[-43.2093727, -22.9110137]"
905407265800429569,"[-46.9977452, -24.3218105]"
904424449855901696,"[-74.083652, 4.6533326]"
904330214825750528,"[-46.3847024, -23.9603686]"
904185086043619328,"[-53.2, -10.3333333]"
903542207394799617,"[-46.3847024, -23.9603686]"
903539111335792641,"[-46.3847024, -23.9603686]"
903042984425521152,"[-43.2093727, -22.9110137]"
902916956675874816,"[-43.1785356, -22.5075743]"
902373120861929472,"[-48.4682453, -1.45056]"
902167860864278529,"[-51.8075619, -30.8524752]"
901851890215997440,"[-9.396909171649877, 38.72240025]"
901829827904331777,"[-67.8220778, -9.9765362]"
901690153927835648,"[-43.2093727, -22.9110137]"
901635794141634561,"[-43.2093727, -22.9110137]"
901512452160008194,"[-67.8220778, -9.9765362]"
901399666515992577,"[-53.2, -10.3333333]"
901231434119118848,"[-49.2532691, -16.680882]"
901192252667637760,"[-51.0897986, -31.287471]"
901169051791241216,"[-53.2, -10.3333333]"
900932737510641664,"[-80.19362, 25.7741728]"
900136929059930112,"[-49.3767752, -26.9569975]"
899826641828012033,"[-77.0365581, 38.8949924]"
899415134166294528,"[-41.9049984, -20.5232726]"
899312589699776513,"[-42.8184375, -22.9196772]"
897468058045992960,"[-53.2, -10.3333333]"
897161293605502976,"[-37.0774655, -10.9162061]"
896939434771349504,"[-53.2, -10.3333333]"
896868954479632384,"[-74.083652, 4.6533326]"
896111013505884160,"[-40.2920174, -20.3297037]"
896084810220711936,"[-40.4506081, -2.8986278]"
896038090212593666,"[-40.2920174, -20.3297037]"
895766821621641216,"[-56.0991301, -15.5986686]"
895654607531249664,"[-71.6950139, -38.8532381]"
895313963038121984,"[-43.1785356, -22.5075743]"
894994849107247106,"[-53.2, -10.3333333]"
894913565869690880,"[-46.4241869, -23.8857982]"
894713073373773825,"[-56.0201525, -32.8755548]"
894706449280008192,"[-53.2, -10.3333333]"
894604072732557312,"[-40.2920174, -20.3297037]"
893544926578974720,"[-53.2, -10.3333333]"
893544845272371200,"[-53.2, -10.3333333]"
893278680146771968,"[-52.6166878, -27.0922364]"
893265220394655744,"[-45.083415, -23.433162]"
893226807545212930,"[-43.2093727, -22.9110137]"
892879642050342916,"[-37.0774655, -10.9162061]"
892768295698530304,"[-42.8259693, -2.7541271]"
892701575151570949,"[-53.2, -10.3333333]"
892526408114765824,"[-53.2, -10.3333333]"
892112526149898240,"[26.7018042, 60.8701996]"
892106227479707648,"[-48.3336423, -10.1837852]"
891476675946577920,"[-42.8184375, -22.9196772]"
891325370301022208,"[-53.2, -10.3333333]"
890704329283436544,"[-111.763275, 34.395342]"
890378689833312257,"[-53.2, -10.3333333]"
890113199235903488,"[-42.975194, -22.4164578]"
889507636395356160,"[-44.2448718, -2.5634605]"
889170954324258821,"[-47.92782763464619, -15.734157549999999]"
887752148662071296,"[-8.7029421, 42.3922393]"
887317030780772352,"[-46.6333824, -23.5506507]"
887076499433689089,"[-64.183319, -31.4173391]"
887032039870013440,"[-53.2, -10.3333333]"
886562725656186880,"[-53.2, -10.3333333]"
886242141088952321,"[-38.5217989, -3.7304512]"
886228889214832640,"[-49.2532691, -16.680882]"
886032563600576513,"[-49.2712724, -25.4295963]"
886022722588987392,"[-49.2712724, -25.4295963]"
886022167493836801,"[-49.2712724, -25.4295963]"
885886990021009408,"[-51.7204241, -17.8783829]"
885875060522831872,"[-53.2, -10.3333333]"
885858621799763968,"[-43.2093727, -22.9110137]"
885634344152432640,"[-42.6436108, -19.5771395]"
885492347848593409,"[-56.0991301, -15.5986686]"
885472892212965376,"[-43.2093727, -22.9110137]"
885441561160544256,"[-6.090168, 40.029921]"
885131537351675905,"[-47.06083, -22.90556]"
884951075010334720,"[-42.8184375, -22.9196772]"
884947973683257350,"[-40.2920174, -20.3297037]"
884763332259057664,"[-48.4682453, -1.45056]"
883682317587427328,"[-35.9722852, -8.2829702]"
883642537524826112,"[19.997153435836697, 50.0469432]"
883560744448434176,"[-114.5730208, 35.1677771]"
883256691504107520,"[-8.6107884, 41.1494512]"
883013666559406081,"[17.5691241, -11.8775768]"
882944858020773889,"[19.997153435836697, 50.0469432]"
936325695604711425,"[-46.7790539, -23.6121912]"
936263914253406209,"[-53.2, -10.3333333]"
936150142725578752,"[-53.2, -10.3333333]"
935993131467714560,"[77.15732443085199, 28.544334300000003]"
935866643053514752,"[-53.2, -10.3333333]"
935349642920906752,"[-54.866624, -29.189675]"
935140964930383873,"[-0.5416993, 45.1401281]"
935121409839427586,"[-43.9450948, -19.9227318]"
934780519476269056,"[-38.4812772, -12.9822499]"
934684923750944768,"[-43.0309252, -22.8219014]"
934547325292294144,"[-43.2093727, -22.9110137]"
934498671584055296,"[-43.2093727, -22.9110137]"
882335336545886208,"[-48.4682453, -1.45056]"
882301889693351936,"[17.5691241, -11.8775768]"
881993402539290625,"[-43.0309252, -22.8219014]"
881664016980074496,"[-43.6006487, -18.2440862]"
880929210268868609,"[-49.2712724, -25.4295963]"
880918519109603328,"[-46.6333824, -23.5506507]"
880832813150482432,"[-43.2093727, -22.9110137]"
880061609196105728,"[-53.2, -10.3333333]"
879447449127006210,"[4.3454841, 50.8249958]"
879300961117900800,"[-40.2920174, -20.3297037]"
879189695074373632,"[-40.3376682, -20.3200917]"
879180252513058816,"[-54.5858139, -25.5401479]"
878978091619667968,"[-49.2712724, -25.4295963]"
878543487427325952,"[-43.2093727, -22.9110137]"
878234866017501184,"[-46.6333824, -23.5506507]"
878204812910776321,"[-48.8486726, -26.3044898]"
877882258706780161,"[-51.2303767, -30.0324999]"
877526343046631425,"[-53.2, -10.3333333]"
876950677360177152,"[-43.2093727, -22.9110137]"
876900492684795908,"[-53.2, -10.3333333]"
876893448342822912,"[-44.1040128, -22.5225497]"
876148204777111553,"[-44.5633108, -22.4955278]"
875504918144135172,"[-46.333889, -23.960833]"
874726327894540289,"[-53.2, -10.3333333]"
874637414786109443,"[-43.1154552, -22.8832371]"
874398945597849600,"[-43.1785356, -22.5075743]"
874224498274336768,"[-48.4682453, -1.45056]"
873594597313839105,"[-40.3064477, -20.1252961]"
873490066575953922,"[-43.2093727, -22.9110137]"
873306383424380932,"[-52.59799284732863, -27.09168045]"
873225299823034368,"[-53.2, -10.3333333]"
873169839216623616,"[-53.2, -10.3333333]"
872168931221544960,"[-49.2532691, -16.680882]"
872046211162877953,"[-73.9598939, 40.7896239]"
871897050069303296,"[-67.8220778, -9.9765362]"
871820211967729664,"[-53.2, -10.3333333]"
871819989342461952,"[-53.2, -10.3333333]"
871815550107889667,"[-53.2, -10.3333333]"
871747346589261826,"[-53.2, -10.3333333]"
871746418993754112,"[-100.445882, 39.7837304]"
871742870180507650,"[-53.2, -10.3333333]"
871738678263074817,"[-53.2, -10.3333333]"
871737438598815745,"[-53.2, -10.3333333]"
870729891121176577,"[-52.8973006, -4.7493933]"
870629034828460033,"[-51.0569588, 0.0401529]"
869952638791680000,"[-43.9450948, -19.9227318]"
869569293188562944,"[-37.0774655, -10.9162061]"
869317861759746049,"[-56.0201525, -32.8755548]"
869246756810354688,"[-43.2093727, -22.9110137]"
869227356631826435,"[-38.4812772, -12.9822499]"
869212925214543872,"[-44.2448718, -2.5634605]"
868619896082636801,"[-43.309929, -22.7896225]"
868164501006413824,"[-46.6333824, -23.5506507]"
867851004661833733,"[-48.5496098, -27.5973002]"
867814580667506688,"[-46.6333824, -23.5506507]"
867540545853419520,"[-46.6333824, -23.5506507]"
867390795409756161,"[-48.9259103, -23.1045215]"
867364963958095874,"[-46.6333824, -23.5506507]"
867332658011009024,"[-53.2, -10.3333333]"
866969767609061376,"[1.5091732, 39.0761278]"
866666296611680259,"[-49.2712724, -25.4295963]"
866260084837494785,"[-6.1529891, 39.1748426]"
865589210815836160,"[-53.2, -10.3333333]"
864882884741668864,"[-46.6333824, -23.5506507]"
864540065032175617,"[-53.2, -10.3333333]"
864539858462756864,"[-53.2, -10.3333333]"
864055887194927104,"[-42.8259693, -2.7541271]"
863424600675295236,"[-40.063949, -4.7879512]"
863375161663397888,"[-53.2, -10.3333333]"
863364152093532162,"[-43.2093727, -22.9110137]"
862850521543180289,"[-53.2, -10.3333333]"
862847072042713088,"[-53.2, -10.3333333]"
862306113655631872,"[-38.4812772, -12.9822499]"
862306093858422785,"[-38.4812772, -12.9822499]"
862110534874701825,"[-46.6333824, -23.5506507]"
861997742343761921,"[-53.2, -10.3333333]"
861928835847254018,"[-43.2093727, -22.9110137]"
861870018455273473,"[2.1774322, 41.3828939]"
861758864475271168,"[-42.8259693, -2.7541271]"
861680414854959104,"[-40.2920174, -20.3297037]"
861676350956032000,"[-40.2920174, -20.3297037]"
861595469109186561,"[-42.975194, -22.4164578]"
861563994770952192,"[-43.2093727, -22.9110137]"
861525531862470656,"[-9.1365919, 38.7077507]"
861232297462435840,"[-8.3958768, 43.3712091]"
860596975770664964,"[-40.2920174, -20.3297037]"
860269278179753986,"[-48.5496098, -27.5973002]"
860163834341994500,"[-100.445882, 39.7837304]"
859190694463905794,"[-67.8220778, -9.9765362]"
859189720055775232,"[-67.8220778, -9.9765362]"
857971829054611456,"[-46.6333824, -23.5506507]"
857909423917985792,"[-8.3170764, 43.3330642]"
856868572873838598,"[-48.4682453, -1.45056]"
855621521800384513,"[-43.2093727, -22.9110137]"
855528165451730944,"[-51.2303767, -30.0324999]"
855456305062006784,"[-43.2093727, -22.9110137]"
855212860389171200,"[-51.2303767, -30.0324999]"
932949427538612225,"[-43.9450948, -19.9227318]"
932682699088826368,"[-43.2093727, -22.9110137]"
932600508812087297,"[-45.083415, -23.433162]"
932055324995080193,"[-85.36610939008591, 10.4313298]"
