,0
1212147576373276673,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS
1212140266297217025,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU
1212124836509691905,PARQUE NACIONAL DO IGUAÇU
1212121396073172992,PARQUE NACIONAL DA TIJUCA
1212116523231457281,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE
1212114366503571458,PARQUE NACIONAL DA SERRA DO CIPÓ
1212108093510869002,PARQUE NACIONAL DA SERRA DOS ORGÃOS
1212101033083768837,PARQUE NACIONAL DA LAGOA DO PEIXE
1212082164667432960,ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA
1212080412601856001,PARQUE NACIONAL DO IGUAÇU
1212046680784166914,FLORESTA NACIONAL DE CANELA
1212026787376578562,PARQUE NACIONAL DA SERRA DO CIPÓ
1212022083267416066,APA DA PEDRA BRANCA
1212019924539002881,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA
1212009784318103553,PARQUE NACIONAL DA TIJUCA
1212009139494367232,PARQUE NACIONAL DO IGUAÇU
1212009138068377600,PARQUE NACIONAL DA LAGOA DO PEIXE
1212005485043273728,PARQUE NACIONAL DA LAGOA DO PEIXE
1211997138718253057,RESERVA BIOLÓGICA DO RIO TROMBETAS
1211996399849660417,PARQUE NACIONAL DO IGUAÇU
1211991662324527104,PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO
1211990474988425216,PARQUE NACIONAL DO IGUAÇU
1211912014848770048,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU
1211839627558043649,PARQUE NACIONAL DA LAGOA DO PEIXE
1211820527901392897,PARQUE NACIONAL DO ITATIAIA
1211819999750426624,PARQUE NACIONAL DA SERRA DO CIPÓ
1211812998605672450,PARQUE ESTADUAL DO RIO TURVO
1211796130624872449,PARQUE NACIONAL DA LAGOA DO PEIXE
1211792387158224896,PARQUE NACIONAL DO IGUAÇU
1211788069793198080,FLORESTA NACIONAL DE IPANEMA
1211776476191703040,PARQUE NACIONAL DA SERRA DA CAPIVARA
1211775677025988608,PARQUE NACIONAL DO IGUAÇU
1211769596224720897,PARQUE ESTADUAL SERRA DO ROLA MOÇA
1211763074446823425,PARQUE NACIONAL DO IGUAÇU
1211730935181447169,PARQUE NACIONAL DAS EMAS
1211720119077998594,PARQUE NACIONAL DA SERRA DO CIPÓ
1211719656584531969,PARQUE NACIONAL DA SERRA DO CIPÓ
1211719289285357568,PARQUE NACIONAL DA TIJUCA
1211717877419495425,PARQUE NACIONAL DA TIJUCA
1211708531147231233,PARQUE NACIONAL DO IGUAÇU
1211708232714084352,PARQUE NACIONAL DA SERRA DO CIPÓ
1211707809231884288,PARQUE NACIONAL DE ILHA GRANDE
1211705829033938944,FLORESTA NACIONAL DE CARAJÁS
1211705197136957446,PARQUE NACIONAL DA SERRA DO CIPÓ
1211701567851843585,PARQUE NACIONAL DO IGUAÇU
1211680940298326016,PARQUE NACIONAL DO IGUAÇU
1211678561213583361,PARQUE NACIONAL DO IGUAÇU
1211670458476777473,PARQUE ESTADUAL DA MATA DO GODOY
1211669802777006085,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE
1211660750869192705,APA DA PEDRA BRANCA
1211652570609070081,PARQUE NACIONAL DE SÃO JOAQUIM
1211643511348563968,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE
1211639168041988096,PARQUE NACIONAL DO IGUAÇU
1211636735161057280,PARQUE NACIONAL DA LAGOA DO PEIXE
1211629300308480000,PARQUE NACIONAL DA TIJUCA
1211523907485876224,PARQUE NACIONAL DA TIJUCA
1211484864945512449,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES
1211470543502876677,PARQUE NACIONAL DE ILHA GRANDE
1211469681460072448,PARQUE NACIONAL DO ITATIAIA
1211469226424197120,PARQUE NACIONAL DE ILHA GRANDE
1211456327819694080,PARQUE NACIONAL DO IGUAÇU
1211455621742170112,PARQUE NACIONAL DA CHAPADA DAS MESAS
1211447335949152261,PARQUE NACIONAL DA LAGOA DO PEIXE
1211440297948983296,PARQUE NACIONAL DA TIJUCA
1211440286725033984,PARQUE NACIONAL DO ITATIAIA
1211439469972328449,PARQUE NACIONAL DO ITATIAIA
