ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Grupo;Recortes (ha);Programa/Projeto;Sítios do Patrimônio Natural;Sítios Ramsar;Mosaico;Reserva da Biosfera
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;1992;Decreto 528 de 20/05/1992;0;Governador Celso Ramos (SC);Não;Sim;1;4.437;1.887;3.000;;0;0;0;1.887;0;0;2.549;US;;;;;;RB - Mata Atlântica
2;0000.00.0002;;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;Federal;Área de Proteção Ambiental;Category V;MG;1989;1989;Decreto 98182 de 26/09/1989;0;Bonito de Minas (MG), Cônego Marinho (MG), Itacarambi (MG), JANUARIA (MG);Não;Sim;1;143.354;143.354;143.866;;0;26.672;116.682;0;0;0;0;US;;;;;Mosaico Sertão Veredas - Peruaçu;RB - Caatinga, RB - Mata Atlântica
3;0000.00.0003;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;Federal;Área de Proteção Ambiental;Category V;DF, GO;1983;1983;Decreto 88940 de 07/11/1983;0;Brasília (DF), Padre Bernardo (GO), Águas Lindas de Goiás (GO);Não;Não;1;41.784;41.784;0;;0;0;41.784;0;0;0;0;US;;;;;;RB - Cerrado
4;0000.00.0004;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;Federal;Área de Proteção Ambiental;Category V;DF;1983;1983;Decreto 88940 de 07/11/1983;0;Brasília (DF);Não;Não;1;82.680;82.680;0;;0;0;82.680;0;0;0;0;US;;;;;;RB - Cerrado
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;2002;Decreto S/N de 27/06/2002;0;Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ);Sim;Sim;1;150.373;150.373;150.700;;0;0;0;150.373;0;0;0;US;;;;;Mosaico Mico-Leão-Dourado;RB - Mata Atlântica
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;2000;Decreto SN de 14/09/2000;0;Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC);Não;Sim;1;154.859;34.828;156.100;;0;0;0;34.828;0;0;120.031;US;;GEF Mar;;;;RB - Mata Atlântica
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;1998;Decreto 924 de 10/09/1993;"Revisão dos limites - Decreto S/N de 07/03/1998;";Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB);Não;Sim;1;14.919;11.531;14.640;;0;175;0;11.356;0;0;3.387;US;;;;;;RB - Mata Atlântica
8;0000.00.0008;;ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE;Federal;Área de Proteção Ambiental;Category V;CE, PE, PI;1997;1997;Decreto sn de 04/08/1997;0;Abaiara (CE), Araripe (CE), Barbalha (CE), Brejo Santo (CE), Campos Sales (CE), Crato (CE), Jardim (CE), Jati (CE), Missão Velha (CE), Nova Olinda (CE), Penaforte (CE), Porteiras (CE), Potengi (CE), Salitre (CE), Santana do Cariri (CE), Araripina (PE), Bodocó (PE), Cedro (PE), Exu (PE), Ipubi (PE), Serrita (PE), Moreilândia (PE), Trindade (PE), Fronteiras (PI), Padre Marcos (PI), São Julião (PI), Simões (PI), Caldeirão Grande do Piauí (PI), Alegrete do Piauí (PI), Marcolândia (PI), Caridade do Piauí (PI), Curral Novo do Piauí (PI), Francisco Macedo (PI);Não;Sim;1;972.593;972.593;1.063.000;;0;972.593;0;0;0;0;0;US;;GEF Terrestre;;;;RB - Caatinga, RB - Mata Atlântica
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;PE, AL;1997;1997;Decreto s/n de 23/10/1997;0;Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE);Não;Sim;1;404.268;4.286;405.946;;0;0;0;4.286;0;0;399.982;US;;GEF Mar;;;;RB - Mata Atlântica
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;1992;Decreto 87561 de 13/09/1982;"Revisão dos limites - Decreto 527 de 20/05/1992;";Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ);Sim;Sim;1;68.224;68.224;0;;0;0;0;68.224;0;0;0;US;;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica
11;0000.00.0011;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA;Federal;Área de Proteção Ambiental;Category V;MG, RJ, SP;1985;1985;Decreto 91304 de 03/06/1985;0;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Braz (MG), Itatiaia (RJ), Resende (RJ), Campos do Jordão (SP), Cruzeiro (SP), Guaratinguetá (SP), Lorena (SP), Lavrinhas (SP), Pindamonhangaba (SP), Piquete (SP), Queluz (SP), Santo Antônio do Pinhal (SP), São Bento do Sapucaí (SP);Não;Sim;1;437.520;437.520;411.184;;0;0;0;437.520;0;0;0;US;;;;;Mosaico Mantiqueira;RB - Mata Atlântica
12;0000.00.0012;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA;Federal;Área de Proteção Ambiental;Category V;TO;1990;2002;Decreto 99278 de 06/06/1990;"Redução - Decreto S/N de 16/07/2002;";Mateiros (TO);Não;Não;1;41.782;41.782;61.000;;0;0;41.782;0;0;0;0;US;;;;;Mosaico Jalapão;RB - Cerrado
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;1983;Decreto 89242 de 27/12/1983;0;Parati (RJ);Sim;Sim;1;32.611;31.922;32.688;;0;0;0;31.922;0;0;689;US;;;;;Mosaico Bocaina;RB - Mata Atlântica
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;1995;Decreto 90347 de 23/10/1984;"Ampliação - Decreto 91892 de 06/11/1995;";Ilha Comprida (SP), Peruíbe (SP), Miracatu (SP), Itariri (SP), Iguape (SP), Cananéia (SP);Não;Sim;1;202.308;201.853;196.955;;0;0;0;201.853;0;0;455;US;;GEF Mar;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Cinturão Verde da Cidade de São Paulo, RB - Mata Atlântica
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;1986;Decreto 92755 de 05/06/1986;0;Fernando de Noronha (PE);Sim;Sim;1;154.358;787;154.000;;0;0;0;787;0;0;153.571;US;;GEF Mar;;;;RB - Mata Atlântica
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;1984;Decreto 90225 de 25/09/1984;0;Guapimirim (RJ), Itaboraí (RJ), Magé (RJ), São Gonçalo (RJ);Sim;Sim;1;13.890;8.969;13.950;;0;0;0;8.969;0;0;4.921;US;;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1985;1997;Decreto 90883 de 31/01/1985;"Redução - Lei ordinária 9513 de 20/11/1997;";Antonina (PR), Campina Grande do Sul (PR), Guaraqueçaba (PR), Paranaguá (PR);Sim;Sim;1;282.441;282.220;283.014;;0;0;0;282.220;0;0;221;US;;;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Mata Atlântica
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;1983;Decreto 88421 de 21/06/1983;0;Feliz Deserto (AL), Piaçabuçu (AL);Não;Sim;1;9.107;9.036;9.143;;0;0;0;9.036;0;0;71;US;;;;;;RB - Mata Atlântica
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;PI, MA, CE;1996;1996;Decreto S/N de 28/08/1996;0;Ilha Grande (PI), Paulino Neves (MA), Tutóia (MA), Água Doce do Maranhão (MA), Araioses (MA), Chaval (CE), Barroquinha (CE), Luís Correia (PI), Parnaíba (PI), Cajueiro da Praia (PI);Não;Sim;1;309.585;223.018;313.800;;0;85.421;137.597;0;0;0;86.566;US;;GEF Mar;;Sítios Ramsar;;RB - Caatinga, RB - Mata Atlântica
20;0000.00.0020;;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA;Federal;Área de Proteção Ambiental;Category V;MG;1990;1996;Decreto 98881 de 25/01/1990;"Revisão dos limites - Decreto 1876 de 25/04/1996;";Confins (MG), Lagoa Santa (MG), Matozinhos (MG), Funilândia (MG), Pedro Leopoldo (MG), Prudente de Morais (MG);Não;Sim;1;37.736;37.736;39.269;;0;0;37.736;0;0;0;0;US;;;;Sítios Ramsar;;RB - Mata Atlântica, RB - Serra do Espinhaço
21;0000.00.0021;;ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ;Federal;Área de Proteção Ambiental;Category V;RS;1992;1992;Decreto 529 de 20/05/1992;0;Alegrete (RS), Quaraí (RS), Rosário do Sul (RS), Santana do Livramento (RS);Não;Sim;1;316.673;316.673;318.000;;0;0;0;0;316.673;0;0;US;;GEF Terrestre;;;;
22;0000.00.0022;;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO;Federal;Área de Proteção Ambiental;Category V;PA;1989;1989;Decreto 97718 de 05/05/1989;0;Parauapebas (PA);Não;Não;1;23.282;23.282;20.637;;23.282;0;0;0;0;0;0;US;;;;;;
23;0000.00.0023;;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;Federal;Área de Proteção Ambiental;Category V;DF, GO;2002;2002;Decreto s/n de 10/01/2002;0;Brasília (DF), Padre Bernardo (GO), Planaltina (GO);Não;Sim;1;503.415;503.415;0;;0;0;503.415;0;0;0;0;US;;;;;;RB - Cerrado
24;0000.00.0024;;ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA;Federal;Área de Proteção Ambiental;Category V;GO, MT, TO;1998;1998;Decreto S/N de 02/10/1998;0;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);Não;Sim;1;359.188;359.188;358.717;;0;0;359.188;0;0;0;0;US;;;;;;
25;0000.00.0025;;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;Federal;Área de Proteção Ambiental;Category V;MS, PR, SP;1997;1997;Decreto S/N de 30/09/1997;0;Bataiporã (MS), Eldorado (MS), Iguatemi (MS), Itaquiraí (MS), Ivinhema (MS), Japorã (MS), Jateí (MS), Mundo Novo (MS), Naviraí (MS), Nova Andradina (MS), Novo Horizonte do Sul (MS), Taquarussu (MS), Altânia (PR), Diamante do Norte (PR), Guaíra (PR), Icaraíma (PR), Ivaté (PR), Marilena (PR), Nova Londrina (PR), Porto Rico (PR), Querência do Norte (PR), Santa Cruz de Monte Castelo (PR), São Jorge do Patrocínio (PR), São Pedro do Paraná (PR), Terra Roxa (PR), Vila Alta (PR), Rosana (SP);Não;Sim;1;1.005.182;1.005.182;1.003.059;;0;0;37;1.005.145;0;0;0;US;;;;;;RB - Mata Atlântica
27;0000.00.0027;;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;Federal;Área de Proteção Ambiental;Category V;MG;1990;1990;Decreto 98891 de 26/01/1990;0;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);Não;Sim;1;131.769;131.769;100.431;;0;0;124.846;6.924;0;0;0;US;;;;;Mosaico Serra do Cipó;RB - Mata Atlântica, RB - Serra do Espinhaço
28;0000.00.0028;;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;Federal;Área de Proteção Ambiental;Category V;GO;2001;2001;Decreto S/N de 27/09/2001;0;Damianópolis (GO), Mambaí (GO), Buritinópolis (GO), Posse (GO);Não;Sim;1;176.321;176.321;176.159;;0;0;176.321;0;0;0;0;US;;;;;;RB - Cerrado
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;1996;Decreto s/n de 26/11/1996;0;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Granja (CE), Moraújo (CE), Tianguá (CE);Não;Não;1;1.624.173;1.624.173;1.592.550;;0;990.073;634.100;0;0;0;0;US;;;;;;RB - Caatinga, RB - Mata Atlântica
30;0000.00.0030;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99276 de 06/06/1990;0;Santa Rita do Passa Quatro (SP);Não;Não;1;151;151;149;;0;0;151;0;0;0;0;US;;;;;;RB - Mata Atlântica
31;0000.00.0031;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA;Federal;Área de Relevante Interesse Ecológico;Category IV;DF;1985;1985;Decreto 91303 de 03/06/1985;0;Brasília (DF);Não;Não;1;2.057;2.057;2.100;;0;0;2.057;0;0;0;0;US;;;;;;RB - Cerrado
32;0000.00.0032;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PÉ-DE-GIGANTE;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99275 de 06/06/1990;0;Santa Rita do Passa Quatro (SP);Não;Não;1;1.199;1.199;1.060;;0;0;1.199;0;0;0;0;US;;;;;;RB - Mata Atlântica
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;1989;2010;Resolução 11 de 14/09/1989;"Recategorização - Decreto S/N.º de 13/04/2010;";Niterói (RJ);Não;Não;1;106;42;0;;0;0;0;42;0;0;64;PI;;;;;Mosaico Carioca;RB - Mata Atlântica
