,0
285876905398386688,PARQUE NACIONAL DO IGUAÇU
285872668421541889,PARQUE NACIONAL DO IGUAÇU
285864998096494592,PARQUE NACIONAL DO IGUAÇU
285864497833467904,PARQUE NACIONAL DO IGUAÇU
285863562725949441,PARQUE NACIONAL DO IGUAÇU
285862850105331713,PARQUE NACIONAL DO IGUAÇU
285861691068145665,PARQUE NACIONAL DO IGUAÇU
285861688660606976,PARQUE NACIONAL DO IGUAÇU
285860966267240450,PARQUE NACIONAL DO ITATIAIA
285860657717465088,PARQUE NACIONAL DO IGUAÇU
285860276899807232,PARQUE NACIONAL DO IGUAÇU
285859925966598144,PARQUE NACIONAL DO IGUAÇU
285813403791003648,PARQUE NACIONAL DA TIJUCA
285807039215702017,PARQUE NACIONAL DA TIJUCA
285798359145512960,PARQUE NACIONAL DO IGUAÇU
285784818988511232,PARQUE NACIONAL DO IGUAÇU
285772997426552833,PARQUE NACIONAL DO IGUAÇU
285770883971301376,PARQUE NACIONAL DO IGUAÇU
285770251763855360,PARQUE NACIONAL DAS ARAUCÁRIAS
285770239285796866,PARQUE NACIONAL DO IGUAÇU
285737336698978305,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS
285736377323253760,PARQUE NACIONAL DO IGUAÇU
285726826305826816,PARQUE NACIONAL DO IGUAÇU
285722082048868353,PARQUE NACIONAL DA TIJUCA
285581564891512832,PARQUE NACIONAL DA TIJUCA
285571151617478657,PARQUE NACIONAL DO ITATIAIA
285566263479132161,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES
285504518765019138,PARQUE NACIONAL DA TIJUCA
285489751501447169,PARQUE NACIONAL DO IGUAÇU
285482156212490241,PARQUE NACIONAL DO IGUAÇU
285480884147191808,PARQUE NACIONAL DO IGUAÇU
285479245990469633,PARQUE NACIONAL DO CATIMBAU
285467633883705344,PARQUE ESTADUAL SERRA DO ROLA MOÇA
285464737087635456,PARQUE NACIONAL DA TIJUCA
285458659687944193,PARQUE NACIONAL DA TIJUCA
285447459726053376,PARQUE NACIONAL DO IGUAÇU
285445549753249792,PARQUE NACIONAL DO IGUAÇU
285433432652251137,PARQUE NACIONAL DO IGUAÇU
285409983879860224,MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE
285409661363040256,PARQUE NACIONAL DO IGUAÇU
285408095079919616,FLORESTA NACIONAL DE BRASÍLIA
285407734088757248,PARQUE NACIONAL DA SERRA DE ITABAIANA
285395832780517376,ESTAÇÃO ECOLÓGICA DA GUANABARA
285394452883849217,ESTAÇÃO ECOLÓGICA DA GUANABARA
285391229875802112,PARQUE NACIONAL DE ILHA GRANDE
285373721550663680,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA
285370127040528384,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA
285369288062275584,PARQUE NACIONAL DO IGUAÇU
285367275962392576,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA
285365539306602496,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA
285359842581938178,PARQUE NACIONAL DA TIJUCA
285352753071534080,PARQUE ESTADUAL SERRA DO ROLA MOÇA
285336176372617216,PARQUE NACIONAL DA TIJUCA
285332811882319872,PARQUE NACIONAL DO IGUAÇU
285183895966728192,FLORESTA NACIONAL DE SÃO FRANCISCO
285173607569715200,PARQUE NACIONAL DO IGUAÇU
285165768834957313,PARQUE NACIONAL DA TIJUCA
285153096936587264,PARQUE NACIONAL DO IGUAÇU
285146585741004801,PARQUE NACIONAL DO ITATIAIA
285140018345938945,PARQUE NACIONAL DE SETE CIDADES
285132662098784258,PARQUE NACIONAL DO IGUAÇU
285128006849138688,PARQUE NACIONAL DO IGUAÇU
285119107517530112,PARQUE NACIONAL DO IGUAÇU
285100039712407552,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS
285099149257494528,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS
285096042242904064,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS
285074706401472513,PARQUE NACIONAL DA TIJUCA
285072405775413249,FLORESTA NACIONAL DE BRASÍLIA
285047282179657728,PARQUE NACIONAL DO IGUAÇU
285013490245197825,PARQUE NACIONAL DO IGUAÇU
285010341086257154,PARQUE NACIONAL DO IGUAÇU
285010128997064704,PARQUE NACIONAL DO ITATIAIA
285009231613132802,PARQUE NACIONAL DO IGUAÇU
285006911223525376,PARQUE NACIONAL DO IGUAÇU
285005329928970240,PARQUE NACIONAL DO IGUAÇU
284997997341863937,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES
284992641903493120,PARQUE NACIONAL DA SERRA DO CIPÓ
284992248163221504,PARQUE NACIONAL DA SERRA DO CIPÓ
284985964735115265,PARQUE NACIONAL DO IGUAÇU
284985948306030592,MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE
284983671725883392,PARQUE NACIONAL DA TIJUCA
284918556624297984,PARQUE NACIONAL DO IGUAÇU
284882468769783808,ESTAÇÃO ECOLÓGICA DO TAIM
284837829530501123,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE
284811159339687936,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS
284789002056396800,PARQUE NACIONAL DA SERRA DO ITAJAÍ
284786094690668544,PARQUE NACIONAL DA SERRA DA CAPIVARA
284783528300924928,PARQUE NACIONAL DA SERRA DE ITABAIANA
284772218351800323,PARQUE NACIONAL DO IGUAÇU
284765342604091394,PARQUE NACIONAL DA SERRA DA CANASTRA
284763703147106304,PARQUE NACIONAL DA SERRA DA CANASTRA
284743946721165312,PARQUE NACIONAL DO ITATIAIA
284742485404684288,PARQUE NACIONAL DO IGUAÇU
284738419932942336,PARQUE NACIONAL DA TIJUCA
284729184448827392,PARQUE NACIONAL DO IGUAÇU
284719306107912193,APA DE SÃO JOSÉ
284710471506984960,PARQUE NACIONAL DO IGUAÇU
284693080895025152,PARQUE NACIONAL DA TIJUCA
284693080089706496,PARQUE NACIONAL DA TIJUCA
284693077862539264,PARQUE NACIONAL DA TIJUCA
284691133534195713,PARQUE NACIONAL DO IGUAÇU
284689667050328066,FLORESTA NACIONAL DE BRASÍLIA
284682415778189312,PARQUE NACIONAL DAS ARAUCÁRIAS
284675296249139201,PARQUE NACIONAL DO IGUAÇU
284675295385096192,PARQUE NACIONAL DA SERRA DO ITAJAÍ
284671850129260545,PARQUE NACIONAL DO IGUAÇU
284671849349128192,PARQUE NACIONAL DO IGUAÇU
284668518996258816,FLORESTA NACIONAL DE BRASÍLIA
284668207879553025,PARQUE NACIONAL DA TIJUCA
284667038071390208,FLORESTA NACIONAL DE BRASÍLIA
284666994979131393,FLORESTA NACIONAL DE BRASÍLIA
284652360981180416,PARQUE NACIONAL DA SERRA DO ITAJAÍ
284648794430267392,PARQUE NACIONAL DA SERRA DO ITAJAÍ
284632957434605569,FLORESTA NACIONAL DE BRASÍLIA
284632298387812353,PARQUE NACIONAL DO IGUAÇU
284631752318808065,PARQUE NACIONAL DO IGUAÇU
284627675191078912,PARQUE NACIONAL DA SERRA DO ITAJAÍ
284620312165900289,PARQUE NACIONAL DO IGUAÇU
284468352217395200,PARQUE NACIONAL DE ANAVILHANAS
284448806181933056,PARQUE NACIONAL DO IGUAÇU
284434773575860224,REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ
