,0
418165436568834048,Parque Nacional    http
418159675377344512,Parque Nacional da serra dos órgãos
418159281913864192,Parque Nacional da serra dos orgãos
418144994327674880,Parque Nacional do iguaçu  no
418137252867612672,Parque Nacional da imaginação http 
418124416912855041,Estação ecológica tupinambás  estação ecológica
418120746016051200,Parque Nacional da serra dos órgãos
418120548997431296,Parque Nacional iguaçú moviliza al trade
418109298473172992,Parque Nacional da serra dos órgãos
418105151464161280,Parque Nacional c natty e bru
418101888635002880,Parque Nacional nos eua tem menor
418099288368250880,Parque estadual do chacrinha
418097489938354176,Parque Nacional da imaginação http 
418094228699635712,Parque Nacional tortuguero http  
418089110138408962,Parque Nacional do iguaçu ultrapassa os
418083992043134977,Parque municipal rego dos carrapatos 
418082629611978752,Parque municipal flamboyant  goiânia 
418078099075792897,Parque Nacional dos lençóis maranhenses http
418070919652065280,Parque natural municipal do atalaia http 
418059448801067008,Parque Nacional da tijuca http 
418058243903340545,Parque Nacional   itatiaia http
418057837152329728,Parque Nacional   itatiaia http
418056675900526592,Parque municipal américo renné giannetti 
418055288512860160,Parque Nacional de ubajara http 
418040051520393216,Parque Nacional da tijuca http 
418038515063357440,Parque Nacional da serra dos órgãos
418038150536392704,Parque Nacional da imaginação http 
418033126355771392,Parque Nacional da tijuca  http
418033117912653824,Parque Nacional da tijuca http 
418030040744734720,Parque Nacional da chapada dos guimarães
418021214897315840,Parque municipal antônio molinari http 
418018712340672512,"Estação ecológica de águas emendadas
http "
418016715591938048,Parque Nacional da imaginação  http
418015608064987136,Parque Nacional de itatiaia http 
418012581895229440,Parque Nacional serra da capivara combina
418012408679256064,Parque estadual da pedra branca http
418008242707365888,Parque Nacional  cairngorms  nas
418000848992866304,Parque Nacional da serra dos órgãos
417999615422889984,Parque Nacional da serra dos órgãos
417997704892260352,Parque estadual do ibitipoca http 
417994511558516736,Parque Nacional nos eua tem menor
417993138679341056,Parque Nacional dos lençóis maranhenses http
417991652381163520,Parque estadual mãe bonifácia  cuiabá
417987505028612096,Parque estadual do caracol http 
417985542778015744,Parque estadual do caracol http 
417984691191709696,Parque estadual do caracol http 
417984537365196800,Parque Nacional nos eua tem menor
417980598725406720,"Parque Nacional do caparaó 
veja mais"
417978613263523840,Parque Nacional do iguaçu  
417977082388295680,Parque Nacional da peneda gerês 
417976027261186048,Parque municipal de tráfico  elche
417974954412752896,Parque Nacional do iguaçu  
417967754990190592,Parque Nacional nos eua tem menor
417965875057410048,Unidade de conservação federal uc  em
417965503261319168,Estação ecológica do lameirão terá plano
417962106819203072,Parque estadual pedra da boca 
417961022050533376,Parque Nacional nos eua tem menor
417956171404677120,Parque Nacional nos eua tem menor
417956169538224128,Parque Nacional nos eua tem menor
417956167701123072,Parque Nacional nos eua tem menor
417950530564931584,Parque Nacional nos eua tem menor
417950519542312960,Parque Nacional nos eua tem menor
417950507756314624,Parque Nacional nos eua tem menor
417950502828007424,Parque Nacional nos eua tem menor
417950501167042560,Parque Nacional nos eua tem menor
417950031963258880,Parque Nacional nos eua tem menor
417948604188225536,Parque Nacional nos eua tem menor
417946931856678912,Parque Nacional nos eua tem menor
417945244437454848,Parque Nacional nos eua tem menor
417945233674862593,Parque Nacional nos eua tem menor
417945220869677056,Parque Nacional nos eua tem menor
417945216893456384,Parque Nacional nos eua tem menor
417945209008177152,Parque Nacional nos eua tem menor
417945207770841088,Parque Nacional nos eua tem menor
417945204742582272,Parque Nacional nos eua tem menor
417945193245974528,Parque Nacional nos eua tem menor
417945191828295680,Parque Nacional nos eua tem menor
417945187625615360,Parque Nacional nos eua tem menor
417945183695540224,Parque Nacional nos eua tem menor
417945181665492992,Parque Nacional nos eua tem menor
417945179346051072,Parque Nacional nos eua tem menor
417945159632842752,Parque Nacional nos eua tem menor
417945157430816770,Parque Nacional nos eua tem menor
417945151802056704,Parque Nacional nos eua tem menor
417945149608435712,Parque Nacional nos eua tem menor
417944737291595776,Parque Nacional nos eua tem menor
417944021198442496,Parque Nacional nos eua tem menor
417944004127649792,Parque Nacional nos eua tem menor
417890754728824832,Parque Nacional iguaçú moviliza al trade
417870353533521920,Parque municipal
417862663910457344,Parque Nacional da tijuca  rio
417860532138692608,Parque Nacional iguaçú moviliza al trade
417844014809763841,Parque Nacional norte americano localizado nas
417839250907095040,Parque municipal ponte dos bilhares 
417834469832536064,Parque estadual do tabuleiro  conceição
417825851263049729,Parque municipal ai encontrei la a
417819199990661120,Parque municipal ponte dos bilhares w
417818265839497216,Parque Nacional da tijuca  
417818116916523008,Parque municipal ponte dos bilhares 
417809160013873154,Parque Nacional da tijuca corcovado 
417809147665846272,Parque Nacional da tijuca corcovado 
417798101102252032,Parque estadual   serra do
417797447591948289,Parque Nacional ne   outra
417796507560321024,Parque municipal  flws 
417791347115180032,Parque Nacional da tijuca  
417788701734088704,Monumento natural e cultural de nossa
417781135180304385,Parque estadual da pedra branca http
417777703065231360,Parque municipal ponte dos bilhares 
417768186189447169,Parque estadual mãe bonifácia http 
417764640660017152,Monumento natural http   t
417761879000633344,Parque estadual mãe bonifácia  http
417758401712902144,Parque estadual mãe bonifácia  cuiabá
417748999995920384,Parque estadual das sete passagens 
417748583719645184,Monumento natural cachoeira do ferro doido
417747308076597248,Parque Nacional serra da capivara combina
417740555616260096,Parque estadual acaraí http  
417739608777302017,Parque estadual da pedra branca http
417737682987790337,Parque municipal em moc  http
417735990330265600,Parque Nacional da serra dos órgãos
417732442213347328,Parque Nacional  ontem  http
417726363505004544,Parque Nacional agora pouco
417722700975853568,Parque estadual acaraí http  
417721624734232576,Parque natural municipal do atalaia http 
417720897022484482,Monumento natural das falésias  beberibe
417717739701030912,Parque Nacional de aparados da serra
417715816894050304,Parque estadual serra do brigadeiro 
417712951542702080,Parque Nacional da tijuca  
417709410346360832,Área de proteção ambiental   canal das
417708054818598912,Parque Nacional da serra dos órgãos
417703894504845314,Parque Nacional do iguaçu  http
417703625348362240,Parque Nacional do itatiaia http 
417700431071301633,Parque Nacional marinho abrolhos http 
417699048661864448,"Monumento natural  
  "
417693833183236096,Parque Nacional de aparados da serra
417692425612967936,Parque municipal odélio de brito 
417691006461423616,Monumento natural http   t
417690964074201088,Parque municipal de bom princípio http
417690426854748160,Estação ecológica do lameirão terá plano
417689730554527744,Parque municipal das cachoeiras http 
417687873039904769,Monumento natural http   t
417683189130604544,Parque Nacional do iguaçu  
417679284170264576,Parque Nacional de superagui pr http
417677389347692544,Parque municipal batendo uma chepa
417673113988370433,Parque Nacional do iguaçu http 
417672443088875520,Parque Nacional do iguaçu  
417668806912536576,Parque Nacional do iguaçu http 
417660879921238016,Parque estadual de vila velha http
417656321530658816,Parque Nacional cabo   
417653706591457280,Parque Nacional hj   mais
417647946302103553,Parque Nacional  o 
417647282247720960,Parque Nacional da chapada dos veadeiros
417645043357585408,Parque Nacional serra da capivara combina
417641418417381377,Parque Nacional serra da capivara combina
417641417976995840,Parque Nacional serra da capivara combina
417641416412909569,Parque Nacional serra da capivara combina
417641399245615104,Parque Nacional serra da capivara combina
417641208282767360,Parque municipal  gente bonita no
417638543687954433,Parque estadual   serra do
417632435409391616,Parque Nacional do iguaçu ultrapassa os
417630018194661376,Parque estadual do jaraguá  são
417627520385548288,Parque Nacional hoje com esse sol
417626801037639680,Parque Nacional do iguaçu http 
417626768594718720,Parque Nacional
417623110855032832,Parque Nacional 
