,lat,long,N
0,-27.57,-48.54,3
1,-20.48,-46.06,2
2,-17.77,-48.66,10
3,-21.71,-43.9,7
4,-22.43,-43.25,12
5,-23.6,-46.75,16
6,-29.36,-49.73,33
7,-22.91,-43.21,75
8,-29.31,-50.85,105
9,-22.65,-44.58,18
10,-21.71,-43.91,12
11,-22.97,-43.23,2
12,-22.96,-43.24,51
13,-16.7,-49.24,111
14,-22.91,-43.69,3
15,-15.58,-56.1,28
16,-23.41,-46.04,8
17,-25.68,-54.44,445
18,-23.43,-47.6,15
19,-23.41,-46.58,28
20,-22.87,-43.78,1094
21,-4.16,-38.11,16
22,-19.92,-43.93,228
23,-22.45,-42.99,130
24,-3.1,-60.03,159
25,-23.34,-46.73,1
26,-16.65,-49.27,1
27,-14.18,-47.82,54
28,-27.72,-48.51,2
29,-23.9,-46.47,5
30,-22.85,-46.31,4
31,-22.46,-43.1,3
32,-9.02,-42.69,33
33,-22.43,-42.96,1
34,-23.53,-46.36,2
35,-22.79,-43.3,12
36,-22.59,-43.41,38
37,-23.77,-46.52,3
38,-0.05,-51.14,8
39,-25.6,-54.57,37
40,-28.14,-54.75,45
41,-27.63,-48.47,1
42,-29.64,-51.93,10
43,-23.5,-46.87,61
44,-15.74,-47.92,41
45,-25.54,-54.59,55
46,-22.42,-42.98,15
47,-22.46,-42.65,6
48,-25.61,-54.48,133
49,-24.36,-47.02,3
50,-22.66,-43.04,2
51,-24.31,-47.0,8
52,-23.04,-46.98,12
53,-30.03,-51.23,6
54,-23.75,-45.75,1
55,-8.13,-35.02,1
56,-15.74,-47.93,30
57,-27.73,-48.51,16
58,-3.1,-60.02,42
59,-22.45,-42.98,12
60,-25.61,-54.58,2
61,-21.79,-46.59,65
62,-23.54,-45.07,30
63,-22.96,-43.27,126
64,-23.46,-46.76,54
65,-20.42,-40.91,2
66,-9.61,-35.76,175
67,-26.98,-48.63,1
68,-25.48,-48.83,2
69,-16.43,-41.0,1
70,-3.84,-40.9,25
71,-20.24,-46.37,18
72,-20.35,-46.86,6
73,-23.8,-45.36,1
74,-3.11,-59.98,29
75,-29.34,-49.73,6
76,-18.46,-43.31,2
77,-22.5,-44.56,10
78,-26.92,-49.07,2
79,-25.25,-50.02,30
80,-14.1,-46.35,2
81,-25.25,-50.01,63
82,-29.92,-51.17,117
83,-22.41,-47.55,8
84,-22.95,-43.34,7
85,-22.36,-47.38,18
86,-19.92,-43.94,146
87,-23.46,-46.63,72
88,-20.4,-54.59,1
89,-25.78,-49.72,2
90,-22.97,-43.02,10
91,-23.91,-48.02,1
92,-3.69,-40.36,6
93,-23.01,-43.43,1
94,-21.72,-44.98,1
95,-22.78,-43.45,1
96,-29.64,-50.46,1
97,-22.95,-43.38,22
98,-25.2,-47.97,1
99,-21.72,-43.92,34
100,-23.54,-46.56,23
101,-27.53,-48.43,20
102,-22.9,-43.68,4
103,-22.96,-43.18,10
104,-23.17,-45.89,43
105,-16.75,-43.89,14
106,-15.09,-44.25,2
107,-23.52,-46.81,3
108,-21.84,-43.79,5
109,2.8,-60.74,6
110,-23.0,-43.37,21
111,-9.6,-35.76,61
112,-5.19,-37.34,26
113,-22.88,-43.29,5
114,-21.72,-43.93,14
115,-19.99,-43.85,3
116,-5.2,-37.34,10
117,-29.45,-51.31,91
118,-22.21,-45.95,3
119,-27.0,-49.43,18
120,-9.61,-35.75,5
121,-20.6,-40.43,57
122,-22.22,-45.96,2
123,-22.96,-43.22,29
124,-22.92,-43.27,9
125,-23.71,-46.66,2
126,-14.18,-47.81,1
127,-19.58,-42.6,2
128,-21.21,-47.8,46
129,-18.24,-43.61,3
130,-22.76,-47.15,2
131,-10.58,-46.52,1
132,-22.4,-43.14,9
133,-33.51,-53.36,2
134,-32.22,-52.47,2
135,-20.27,-43.93,30
