,0
1212157803252649984,PARQUE ESTADUAL CARLOS BOTELHO
1212140266297217025,PARQUE NACIONAL CAVERNAS DO PERUAÇU
1212124836509691905,PARQUE NACIONAL DO IGUAÇU
1212121396073172992,PARQUE NACIONAL DA TIJUCA
1212120789799067648,PARQUE NACIONAL DA CHAPADA DIAMANTINA
1212109045735317505,PARQUE NACIONAL DO IGUAÇU
1212101033083768837,PARQUE NACIONAL DA LAGOA DO PEIXE
1212096974977032192,PARQUE NACIONAL DO IGUAÇU
1212084010765209603,PARQUE NACIONAL DO IGUAÇU
1212082164667432960,PARQUE ESTADUAL CUNHAMBEBE
1212081623258320897,PARQUE NACIONAL DO IGUAÇU
1212080412601856001,PARQUE NACIONAL DO IGUAÇU
1212022083267416066,PARQUE ESTADUAL DA PEDRA BRANCA
1212021073606299648,PARQUE NACIONAL DO IGUAÇU
1212009784318103553,PARQUE NACIONAL DA TIJUCA
1212009139494367232,PARQUE NACIONAL DO IGUAÇU
1212009138068377600,PARQUE NACIONAL DA LAGOA DO PEIXE
1212008177979531269,PARQUE NACIONAL DO IGUAÇU
1212005485043273728,PARQUE NACIONAL DA LAGOA DO PEIXE
1211997138718253057,RESERVA BIOLÓGICA DO RIO TROMBETAS
1211996399849660417,PARQUE NACIONAL DO IGUAÇU
1211995529430876161,PARQUE NACIONAL DO IGUAÇU
1211991662324527104,PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO
1211990474988425216,PARQUE NACIONAL DO IGUAÇU
1211983484778156032,PARQUE NACIONAL DO IGUAÇU
1211970488215490560,PARQUE NACIONAL DO IGUAÇU
1211938188928917504,PARQUE NACIONAL DO IGUAÇU
1211912014848770048,PARQUE NACIONAL CAVERNAS DO PERUAÇU
1211889997927895040,PARQUE NACIONAL DO IGUAÇU
1211859071969693699,PARQUE ESTADUAL DO JALAPÃO
1211844620675698689,PARQUE NACIONAL DA CHAPADA DIAMANTINA
1211839627558043649,PARQUE NACIONAL DA LAGOA DO PEIXE
1211826883421245442,PARQUE NACIONAL DO IGUAÇU
1211820498600038400,PARQUE NACIONAL DO IGUAÇU
1211813585766297601,PARQUE NACIONAL DO IGUAÇU
1211812998605672450,PARQUE ESTADUAL DO RIO TURVO
