,0
418033117912653824,"[-43.2093727, -22.9110137]"
417717739701030912,"[-53.2, -10.3333333]"
417703625348362240,"[-44.5633108, -22.4955278]"
417601580444024833,"[-53.2, -10.3333333]"
416950024728109056,"[-53.2, -10.3333333]"
416260233724313600,"[-53.2, -10.3333333]"
415974806350086144,"[-53.2, -10.3333333]"
414837793949769728,"[-54.5858139, -25.5401479]"
414536696345395200,"[-46.0379249, -23.4133724]"
414535154045288448,"[-46.0379249, -23.4133724]"
400773537973403648,"[-43.9450948, -19.9227318]"
400368984656072704,"[-49.2712724, -25.4295963]"
399680081037361152,"[-43.9450948, -19.9227318]"
399175752756633601,"[-46.3190079, -22.8549109]"
399165325171625986,"[-46.3190079, -22.8549109]"
398810891912613888,"[-46.6333824, -23.5506507]"
398207812141981696,"[-51.1796197, -29.1684951]"
398202572235751425,"[-43.9450948, -19.9227318]"
397380828432711680,"[-59.9825041, -3.1316333]"
397380178172973056,"[-59.9825041, -3.1316333]"
396619552550711296,"[-43.9450948, -19.9227318]"
395221808225325056,"[-71.3187697, -31.7613365]"
394826011374002176,"[-43.2093727, -22.9110137]"
394501516436193280,"[-43.2093727, -22.9110137]"
394181954444472320,"[-40.3376682, -20.3200917]"
393492939940175872,"[-44.198333, -19.968056]"
392770607529472000,"[-72.9088133, 4.099917]"
392735911206993920,"[-43.2093727, -22.9110137]"
392035272520519680,"[-49.2163956, -28.1856937]"
391411149637287936,"[-43.9450948, -19.9227318]"
390516388667727872,"[-43.8717676, -16.7273538]"
390461448989589505,"[-49.6014812, -27.4096219]"
390449428446072832,"[-54.5858139, -25.5401479]"
390430077462122496,"[-53.2, -10.3333333]"
390115883927891968,"[-53.2, -10.3333333]"
389735471502225408,"[-43.2093727, -22.9110137]"
389459802654781440,"[-43.2093727, -22.9110137]"
389434938778714112,"[-46.5506747, -23.7080345]"
389137794805030912,"[-43.2093727, -22.9110137]"
389134724817756160,"[-43.2093727, -22.9110137]"
389118504948867072,"[-44.5633108, -22.4955278]"
389114723511570432,"[-43.2093727, -22.9110137]"
389114111780741120,"[-43.2093727, -22.9110137]"
389113478700871681,"[-43.2093727, -22.9110137]"
388743630623498241,"[-53.2, -10.3333333]"
388739774476865536,"[-53.2, -10.3333333]"
387216672592908288,"[-53.2, -10.3333333]"
387208281925492736,"[-53.2, -10.3333333]"
387184534006951936,"[-53.2, -10.3333333]"
386995689039069184,"[-56.0991301, -15.5986686]"
386853567522291712,"[-53.2, -10.3333333]"
386853022883516416,"[-53.2, -10.3333333]"
386128469891252224,"[-47.5603933, -22.4100108]"
385811943161741312,"[-53.2, -10.3333333]"
414004291750608896,"[-50.8136305, -29.3626977]"
413694461370040320,"[-43.9450948, -19.9227318]"
412616910300512257,"[-43.2093727, -22.9110137]"
412192107990761472,"[-43.9450948, -19.9227318]"
384743931360985088,"[-53.2, -10.3333333]"
384649506434060289,"[-43.2093727, -22.9110137]"
384100258915315712,"[-59.9825041, -3.1316333]"
384092804994977792,"[-49.2712724, -25.4295963]"
384058802347442176,"[-40.4984617, -20.6718755]"
383761490093678592,"[-46.8764612, -23.5112184]"
383582478318829568,"[-53.2, -10.3333333]"
383558788973748225,"[-53.2, -10.3333333]"
383270386579677184,"[-53.2, -10.3333333]"
382857264001855488,"[-53.2, -10.3333333]"
382845242338054146,"[-53.2, -10.3333333]"
382217200884387840,"[-53.2, -10.3333333]"
382212950544494592,"[-53.2, -10.3333333]"
382142503798833152,"[-53.2, -10.3333333]"
382124805551431680,"[-53.2, -10.3333333]"
381596792720072706,"[-43.9450948, -19.9227318]"
380687151169830912,"[-50.1601812, -25.0891685]"
380684382479978496,"[-53.2, -10.3333333]"
380114757153337344,"[-46.8764612, -23.5112184]"
380022305692213249,"[-45.054167, -22.116389]"
380015665635016704,"[-53.2, -10.3333333]"
379708678368423936,"[-40.3376682, -20.3200917]"
379693009031667712,"[-43.9450948, -19.9227318]"
379658211319484416,"[-53.2, -10.3333333]"
379586689649217537,"[-53.2, -10.3333333]"
379393558425247745,"[-43.9450948, -19.9227318]"
379237890514903040,"[-43.9450948, -19.9227318]"
379133294094585856,"[-43.9450948, -19.9227318]"
379060282594975744,"[-43.9450948, -19.9227318]"
379053944615747584,"[-43.9450948, -19.9227318]"
379020617321705472,"[-47.4252319, -23.7074096]"
378922901631946752,"[-59.9825041, -3.1316333]"
378897145996144640,"[-43.9450948, -19.9227318]"
378690487839756289,"[-43.9450948, -19.9227318]"
378508567696781312,"[-46.7916801, -23.5324859]"
377947832084230144,"[-43.9450948, -19.9227318]"
