,lat,long,N
0,-22.69,-45.48,8
1,-23.02,-43.47,10
2,-22.43,-44.61,62
3,-20.15,-46.66,32
4,-32.5,-52.58,1
5,-2.54,-43.02,20
6,42.64,-0.03,1
7,19.2,-69.34,2
8,-23.87,-46.43,8
9,-22.48,-43.06,101
10,-6.44,-35.65,3
11,-23.33,-46.69,14
12,-22.9,-43.19,23
13,-22.95,-43.49,34
14,-19.83,-43.96,5
15,-19.92,-43.94,8
16,-8.62,-37.15,34
17,-14.18,-47.82,54
18,-16.72,-43.87,4
19,-28.7,-49.38,6
20,-25.25,-50.01,9
21,-23.37,-53.74,2
22,-21.72,-43.93,22
23,-20.41,-41.02,31
24,-20.36,-40.66,12
25,-0.89,-47.93,3
26,-19.97,-43.99,4
27,-23.03,-43.47,4
28,-22.89,-43.35,1
29,-22.97,-43.02,5
30,-22.41,-42.97,1
31,-20.33,-46.37,1
32,-21.78,-43.36,1
33,-22.85,-46.27,46
34,-22.85,-46.33,14
35,41.87,-8.24,50
36,-21.98,-44.6,1
37,-1.43,-48.44,173
38,-3.75,-38.49,12
39,-20.04,-44.01,51
40,-16.74,-49.32,3
41,-22.41,-47.53,8
42,-20.38,-41.03,1
43,-29.64,-51.02,1
44,-15.6,-56.1,8
45,-15.3,-55.87,4
46,-22.42,-42.61,5
47,-6.06,-49.92,4
48,-4.53,-37.7,1
49,-15.85,-48.96,5
50,-16.75,-43.88,1
51,-2.49,-44.27,1
52,-19.35,-43.62,21
53,-23.43,-47.62,13
54,6.05,-77.35,2
55,-22.99,-43.23,32
56,-12.62,-41.49,17
57,-22.96,-43.27,47
58,-5.19,-37.34,9
59,-22.86,-48.44,2
60,-23.54,-46.43,2
61,-25.4,-49.3,1
62,-22.36,-44.68,18
63,-20.62,-41.01,4
64,-22.98,-42.03,1
65,-23.9,-46.48,1
66,-1.43,-48.42,1
67,-15.77,-48.11,1
68,-22.93,-43.44,2
69,-19.5,-44.28,3
70,-29.36,-50.81,1
71,-3.77,-40.9,18
72,-15.74,-47.93,15
73,-22.93,-43.23,12
74,-9.75,13.58,3
75,-16.53,-49.14,5
76,-20.41,-43.51,8
77,-23.23,-44.71,14
78,-22.96,-43.18,1
79,-4.84,-37.25,8
80,-22.92,-43.27,5
81,-22.89,-43.12,1
82,-22.97,-46.54,1
83,18.72,-68.45,1
84,-21.7,-43.42,1
85,-22.41,-45.44,11
86,-29.31,-50.85,12
87,-22.92,-43.54,1
88,-25.09,-50.17,1
89,-24.51,-50.41,1
90,-24.28,-49.69,10
91,-25.05,-49.95,9
92,-15.61,-56.09,1
93,-20.3,-40.34,10
94,-24.55,-48.68,11
95,-22.3,-42.54,4
96,-20.65,-40.47,1
97,-22.97,-43.25,16
98,-8.78,-63.87,2
99,-19.03,-43.42,1
100,-20.27,-40.51,1
101,-24.79,-50.01,1
102,-9.9,-61.71,1
103,-14.07,-47.66,7
104,-23.69,-46.45,1
105,-22.85,-46.31,6
106,-22.98,-47.0,3
107,-2.9,-40.45,5
108,-23.41,-46.04,1
109,-22.48,-44.58,6
110,-22.46,-44.61,7
111,-15.8,-48.85,1
112,-22.98,-43.28,1
113,-4.3,-37.96,1
114,-22.87,-43.78,4
115,-18.17,-52.75,1
116,-29.13,-49.99,1
117,-21.09,-45.55,2
118,41.88,-8.31,1
119,-23.58,-46.75,2
120,-20.43,-41.87,18
121,-35.96,-62.73,1
122,-15.58,-56.1,1
123,-9.6,-35.76,8
124,-23.46,-46.54,8
125,-10.78,-37.35,4
126,-23.45,-46.63,12
